datum,kraj,disciplina,mesto,zaostanek
17-03-2016,St. Moritz,Super G,DNF1,
16-03-2016,St. Moritz,Downhill,13,19.29
13-03-2016,Kvitfjell,Super G,13,12.46
12-03-2016,Kvitfjell,Downhill,32,28.66
27-02-2016,Hinterstoder,Super G,16,19.10
20-02-2016,Chamonix,Downhill,10,14.25
19-02-2016,Chamonix,Alpine combined,DNS1,
07-02-2016,Jeongseon,Super G,9,18.05
06-02-2016,Jeongseon,Downhill,12,10.60
30-01-2016,Garmisch Partenkirchen,Downhill,DNF1,
23-01-2016,Kitzbuehel,Downhill,DNF1,
22-01-2016,Kitzbuehel,Super G,3,6.32
16-01-2016,Wengen,Downhill,2,2.18
15-01-2016,Wengen,Alpine combined,DNS2,
29-12-2015,Santa Caterina,Downhill,2,12.12
19-12-2015,Val Gardena / Groeden,Downhill,26,22.76
18-12-2015,Val Gardena / Groeden,Super G,20,21.20
06-12-2015,Beaver Creek,Giant Slalom,DNQ1,
05-12-2015,Beaver Creek,Super G,16,14.37
04-12-2015,Beaver Creek,Downhill,4,9.53
29-11-2015,Lake Louise,Super G,11,10.64
28-11-2015,Lake Louise,Downhill,18,16.66
25-10-2015,Soelden,Giant Slalom,16,24.93
19-03-2015,Meribel,Super G,7,5.89
18-03-2015,Meribel,Downhill,10,9.91
08-03-2015,Kvitfjell,Super G,DNF1,
07-03-2015,Kvitfjell,Downhill,1,0.00
28-02-2015,Garmisch Partenkirchen,Downhill,1,0.00
22-02-2015,Saalbach,Super G,DNF1,
21-02-2015,Saalbach,Downhill,3,2.39
24-01-2015,Kitzbuehel,Downhill,34,26.44
23-01-2015,Kitzbuehel,Super G,24,21.14
18-01-2015,Wengen,Downhill,1,0.00
16-01-2015,Wengen,Alpine combined,DNS2,
28-12-2014,Santa Caterina,Downhill,6,10.55
21-12-2014,Alta Badia,Giant Slalom,DNQ1,
20-12-2014,Val Gardena / Groeden,Super G,3,6.21
19-12-2014,Val Gardena / Groeden,Downhill,11,20.49
12-12-2014,Are,Giant Slalom,DNF1,
07-12-2014,Beaver Creek,Giant Slalom,25,16.54
06-12-2014,Beaver Creek,Super G,1,0.00
05-12-2014,Beaver Creek,Downhill,8,13.73
30-11-2014,Lake Louise,Super G,6,4.93
29-11-2014,Lake Louise,Downhill,9,8.62
26-10-2014,Soelden,Giant Slalom,DNF1,
26-01-2014,Kitzbuehel,Super G,68,35.06
