datum,kraj,disciplina,mesto
07-03-2016,Jasna,Giant Slalom,26
30-01-2016,Maribor,Giant Slalom,DNS1
17-01-2016,Flachau,Giant Slalom,DNQ1
28-12-2015,Lienz,Giant Slalom,DNF1
20-12-2015,Courchevel,Giant Slalom,DNQ1
12-12-2015,Are,Giant Slalom,15
27-11-2015,"Aspen, CO",Giant Slalom,DNF1
24-10-2015,Soelden,Giant Slalom,DNF1
13-03-2015,Are,Giant Slalom,DNF1
22-02-2015,Maribor,Slalom,DNF1
21-02-2015,Maribor,Giant Slalom,DNQ1
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNF1
12-12-2014,Are,Giant Slalom,DNQ1
25-10-2014,Soelden,Giant Slalom,DNQ1
07-03-2014,Are,Giant Slalom,DNQ1
06-03-2014,Are,Giant Slalom,DNF1
28-12-2013,Lienz,Giant Slalom,DNQ1
22-12-2013,Val d'Isere,Giant Slalom,DNQ1
09-03-2013,Ofterschwang,Giant Slalom,DNQ1
26-01-2013,Maribor,Giant Slalom,DNQ1
28-12-2012,Semmering,Giant Slalom,DNQ1
16-12-2012,Courchevel,Giant Slalom,DNF1
21-01-2011,Cortina d Ampezzo,Super G,DNF1
12-12-2010,St. Moritz,Giant Slalom,DNQ1
