datum,kraj,disciplina,mesto,zaostanek
29-12-2015,Santa Caterina,Downhill,DNF1,
19-12-2015,Val Gardena / Groeden,Downhill,19,18.73
18-12-2015,Val Gardena / Groeden,Super G,DNF1,
05-12-2015,Beaver Creek,Super G,25,21.31
29-11-2015,Lake Louise,Super G,27,24.43
19-03-2015,Meribel,Super G,3,1.31
08-03-2015,Kvitfjell,Super G,11,11.08
07-03-2015,Kvitfjell,Downhill,41,22.45
28-02-2015,Garmisch Partenkirchen,Downhill,29,15.65
22-02-2015,Saalbach,Super G,8,9.20
21-02-2015,Saalbach,Downhill,33,35.96
24-01-2015,Kitzbuehel,Downhill,25,20.20
23-01-2015,Kitzbuehel,Super G,DNF1,
18-01-2015,Wengen,Downhill,21,20.73
16-01-2015,Wengen,Alpine combined,DNS2,
28-12-2014,Santa Caterina,Downhill,25,22.45
20-12-2014,Val Gardena / Groeden,Super G,15,14.50
19-12-2014,Val Gardena / Groeden,Downhill,39,44.22
06-12-2014,Beaver Creek,Super G,DNF1,
05-12-2014,Beaver Creek,Downhill,46,35.19
30-11-2014,Lake Louise,Super G,DNF1,
29-11-2014,Lake Louise,Downhill,49,27.22
26-01-2014,Kitzbuehel,Super G,24,12.98
26-01-2014,Kitzbuehel,Super Combined,DNF2,
25-01-2014,Kitzbuehel,Downhill,24,26.43
18-01-2014,Wengen,Downhill,18,15.23
17-01-2014,Wengen,Super Combined,DNF1,
29-12-2013,Bormio,Downhill,28,26.42
21-12-2013,Val Gardena / Groeden,Downhill,DNF1,
20-12-2013,Val Gardena / Groeden,Super G,34,36.16
07-12-2013,Beaver Creek,Super G,DNF1,
06-12-2013,Beaver Creek,Downhill,18,18.49
01-12-2013,Lake Louise,Super G,18,19.10
30-11-2013,Lake Louise,Downhill,19,20.57
03-03-2013,Kvitfjell,Super G,DNF1,
02-03-2013,Kvitfjell,Downhill,16,19.99
23-02-2013,Garmisch-Partenkirchen,Downhill,DNF1,
27-01-2013,Kitzbuehel,Slalom,DNF1,
27-01-2013,Kitzbuehel,Super Combined,DNF1,
26-01-2013,Kitzbuehel,Downhill,27,29.02
25-01-2013,Kitzbuehel,Super G,DNF1,
19-01-2013,Wengen,Downhill,22,25.70
18-01-2013,Wengen,Super Combined,23,22.97
29-12-2012,Bormio,Downhill,16,15.59
15-12-2012,Val Gardena-Groeden,Downhill,10,11.26
14-12-2012,Val Gardena-Groeden,Super G,52,39.64
30-11-2012,Beaver Creek,Downhill,42,32.74
24-11-2012,Lake Louise,Downhill,56,52.62
05-02-2012,Chamonix,Super Combined,20,18.16
04-02-2012,Chamonix,Downhill,45,36.26
03-02-2012,Chamonix,Downhill,52,33.73
21-01-2012,Kitzbuehel,Downhill,60,58.62
29-12-2011,Bormio,Downhill,30,32.43
16-12-2011,Val Gardena-Groeden,Super G,36,24.84
27-11-2011,Lake Louise,Super G,54,44.32
26-11-2011,Lake Louise,Downhill,62,43.39
30-01-2011,Chamonix,Super Combined,DNF1,
29-01-2011,Chamonix,Downhill,54,71.70
