datum,kraj,disciplina,mesto,zaostanek
20-02-2016,Chamonix,Downhill,31,22.60
19-02-2016,Chamonix,Alpine combined,48,67.30
07-02-2016,Jeongseon,Super G,28,32.72
06-02-2016,Jeongseon,Downhill,43,34.03
30-01-2016,Garmisch Partenkirchen,Downhill,19,11.06
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Alpine combined,DNF2,
22-01-2016,Kitzbuehel,Super G,39,37.91
16-01-2016,Wengen,Downhill,40,47.22
15-01-2016,Wengen,Alpine combined,27,26.12
29-12-2015,Santa Caterina,Downhill,34,44.62
05-12-2015,Beaver Creek,Super G,48,38.42
04-12-2015,Beaver Creek,Downhill,41,37.99
29-11-2015,Lake Louise,Super G,53,43.54
28-11-2015,Lake Louise,Downhill,52,42.64
21-02-2015,Saalbach,Downhill,31,32.55
06-12-2014,Beaver Creek,Super G,DNF1,
05-12-2014,Beaver Creek,Downhill,DNF1,
30-11-2014,Lake Louise,Super G,DNF1,
29-11-2014,Lake Louise,Downhill,57,33.80
30-11-2013,Lake Louise,Downhill,DNS1,
03-03-2013,Kvitfjell,Super G,DNF1,
02-03-2013,Kvitfjell,Downhill,25,26.75
23-02-2013,Garmisch-Partenkirchen,Downhill,21,16.24
27-01-2013,Kitzbuehel,Super Combined,8,42.36
26-01-2013,Kitzbuehel,Downhill,31,36.36
25-01-2013,Kitzbuehel,Super G,19,21.57
19-01-2013,Wengen,Downhill,25,29.54
18-01-2013,Wengen,Super Combined,11,16.29
29-12-2012,Bormio,Downhill,14,13.74
15-12-2012,Val Gardena-Groeden,Downhill,31,23.60
14-12-2012,Val Gardena-Groeden,Super G,21,23.61
02-12-2012,Beaver Creek,Giant Slalom,DNQ1,
01-12-2012,Beaver Creek,Super G,40,37.96
30-11-2012,Beaver Creek,Downhill,30,24.52
25-11-2012,Lake Louise,Super G,7,13.49
24-11-2012,Lake Louise,Downhill,16,23.27
28-10-2012,Soelden,Giant Slalom,DNQ1,
15-03-2012,Schladming,Super G,13,14.09
04-03-2012,Kvitfjell,Super G,7,10.26
03-03-2012,Kvitfjell,Downhill,27,26.79
02-03-2012,Kvitfjell,Super G,12,8.26
26-02-2012,Crans Montana,Giant Slalom,DNF1,
25-02-2012,Crans Montana,Super G,15,13.59
24-02-2012,Crans Montana,Super G,DNF1,
12-02-2012,Sochi,Super Combined,10,20.45
11-02-2012,Sochi,Downhill,17,16.46
05-02-2012,Chamonix,Super Combined,16,15.27
04-02-2012,Chamonix,Downhill,23,22.45
03-02-2012,Chamonix,Downhill,35,18.20
28-01-2012,Garmisch-Partenkirchen,Downhill,DNF1,
22-01-2012,Kitzbuehel,Super Combined,12,68.79
22-01-2012,Kitzbuehel,Slalom,DNQ1,
21-01-2012,Kitzbuehel,Downhill,43,33.40
14-01-2012,Wengen,Downhill,36,31.26
13-01-2012,Wengen,Super Combined,DNF1,
07-01-2012,Adelboden,Giant Slalom,DNF1,
18-12-2011,Alta Badia,Giant Slalom,DNQ1,
16-12-2011,Val Gardena-Groeden,Super G,7,11.18
04-12-2011,Beaver Creek,Giant Slalom,DNF1,
03-12-2011,Beaver Creek,Super G,22,18.99
02-12-2011,Beaver Creek,Downhill,37,36.38
27-11-2011,Lake Louise,Super G,36,30.61
26-11-2011,Lake Louise,Downhill,19,17.73
23-10-2011,Soelden,Giant Slalom,DNQ1,
13-03-2011,Kvitfjell,Super G,18,17.20
12-03-2011,Kvitfjell,Downhill,27,22.85
11-03-2011,Kvitfjell,Downhill,41,29.10
05-02-2011,Hinterstoder,Super G,33,40.60
30-01-2011,Chamonix,Super Combined,15,17.86
29-01-2011,Chamonix,Downhill,21,23.04
15-01-2011,Wengen,Downhill,35,41.85
14-01-2011,Wengen,Super Combined,17,25.92
05-12-2010,Beaver Creek,Giant Slalom,DNQ1,
04-12-2010,Beaver Creek,Super G,DNF1,
28-11-2010,Lake Louise,Super G,DNF1,
27-11-2010,Lake Louise,Downhill,52,48.37
14-11-2010,Levi,Slalom,DNF1,
30-01-2010,Kranjska Gora,Giant Slalom,DNF1,
29-01-2010,Kranjska Gora,Giant Slalom,DNQ1,
10-01-2010,Adelboden,Slalom,DNF1,
06-01-2010,Zagreb,Slalom,DNF1,
21-12-2009,Alta Badia,Slalom,DNF1,
20-12-2009,Alta Badia,Giant Slalom,DNF1,
15-11-2009,Levi,Slalom,DNQ1,
25-10-2009,Soelden,Giant Slalom,DNF1,
18-01-2009,Wengen,Slalom,DNS1,
06-01-2009,Zagreb,Slalom,DNQ1,
22-12-2008,Alta Badia,Slalom,DNF1,
16-11-2008,Levi,Slalom,DNF1,
28-01-2007,Kitzbuehel,Slalom,DNQ1,
