datum,kraj,disciplina,mesto
17-03-2016,St. Moritz,Super G,6
16-03-2016,St. Moritz,Downhill,17
13-03-2016,Kvitfjell,Super G,10
12-03-2016,Kvitfjell,Downhill,12
27-02-2016,Hinterstoder,Super G,14
20-02-2016,Chamonix,Downhill,24
19-02-2016,Chamonix,Alpine combined,28
07-02-2016,Jeongseon,Super G,10
06-02-2016,Jeongseon,Downhill,27
30-01-2016,Garmisch Partenkirchen,Downhill,8
23-01-2016,Kitzbuehel,Downhill,17
22-01-2016,Kitzbuehel,Alpine combined,15
22-01-2016,Kitzbuehel,Super G,10
16-01-2016,Wengen,Downhill,13
15-01-2016,Wengen,Alpine combined,30
29-12-2015,Santa Caterina,Downhill,10
19-12-2015,Val Gardena / Groeden,Downhill,23
18-12-2015,Val Gardena / Groeden,Super G,14
05-12-2015,Beaver Creek,Super G,22
04-12-2015,Beaver Creek,Downhill,36
29-11-2015,Lake Louise,Super G,30
28-11-2015,Lake Louise,Downhill,34
08-03-2015,Kvitfjell,Super G,22
07-03-2015,Kvitfjell,Downhill,39
28-02-2015,Garmisch Partenkirchen,Downhill,32
22-02-2015,Saalbach,Super G,37
21-02-2015,Saalbach,Downhill,20
24-01-2015,Kitzbuehel,Downhill,16
23-01-2015,Kitzbuehel,Super G,38
28-12-2014,Santa Caterina,Downhill,21
20-12-2014,Val Gardena / Groeden,Super G,50
19-12-2014,Val Gardena / Groeden,Downhill,41
06-12-2014,Beaver Creek,Super G,DNF1
05-12-2014,Beaver Creek,Downhill,34
30-11-2014,Lake Louise,Super G,27
29-11-2014,Lake Louise,Downhill,47
01-03-2014,Kvitfjell,Downhill,65
28-02-2014,Kvitfjell,Downhill,64
18-01-2014,Wengen,Downhill,DNS1
17-01-2014,Wengen,Super Combined,39
29-12-2013,Bormio,Downhill,36
21-12-2013,Val Gardena / Groeden,Downhill,57
07-12-2013,Beaver Creek,Super G,49
06-12-2013,Beaver Creek,Downhill,52
01-12-2013,Lake Louise,Super G,50
30-11-2013,Lake Louise,Downhill,59
19-01-2013,Wengen,Downhill,32
18-01-2013,Wengen,Super Combined,27
29-12-2012,Bormio,Downhill,32
15-12-2012,Val Gardena-Groeden,Downhill,25
14-12-2012,Val Gardena-Groeden,Super G,30
01-12-2012,Beaver Creek,Super G,47
30-11-2012,Beaver Creek,Downhill,28
25-11-2012,Lake Louise,Super G,58
24-11-2012,Lake Louise,Downhill,32
04-03-2012,Kvitfjell,Super G,31
03-03-2012,Kvitfjell,Downhill,28
02-03-2012,Kvitfjell,Super G,52
25-02-2012,Crans Montana,Super G,32
24-02-2012,Crans Montana,Super G,38
12-02-2012,Sochi,Super Combined,22
11-02-2012,Sochi,Downhill,16
05-02-2012,Chamonix,Super Combined,24
04-02-2012,Chamonix,Downhill,39
03-02-2012,Chamonix,Downhill,40
28-01-2012,Garmisch-Partenkirchen,Downhill,21
21-01-2012,Kitzbuehel,Downhill,55
14-01-2012,Wengen,Downhill,44
13-01-2012,Wengen,Super Combined,36
29-12-2011,Bormio,Downhill,43
16-12-2011,Val Gardena-Groeden,Super G,48
03-12-2011,Beaver Creek,Super G,40
02-12-2011,Beaver Creek,Downhill,45
27-11-2011,Lake Louise,Super G,18
26-11-2011,Lake Louise,Downhill,16
30-01-2011,Chamonix,Super Combined,31
29-01-2011,Chamonix,Downhill,30
22-01-2011,Kitzbuehel,Downhill,37
21-01-2011,Kitzbuehel,Super G,31
29-12-2010,Bormio,Downhill,31
18-12-2010,Val Gardena-Groeden,Downhill,28
17-12-2010,Val Gardena-Groeden,Super G,38
28-12-2008,Bormio,Downhill,DNS1
13-03-2008,Bormio,Super G,DNF1
