datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Kvitfjell,Super G,34,28.07
12-03-2016,Kvitfjell,Downhill,39,38.10
27-02-2016,Hinterstoder,Super G,38,35.68
20-02-2016,Chamonix,Downhill,51,35.90
19-02-2016,Chamonix,Alpine combined,47,58.84
30-01-2016,Garmisch Partenkirchen,Downhill,36,25.48
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Alpine combined,DNS2,
22-01-2016,Kitzbuehel,Super G,49,48.74
29-12-2015,Santa Caterina,Downhill,41,51.85
19-12-2015,Val Gardena / Groeden,Downhill,49,37.57
18-12-2015,Val Gardena / Groeden,Super G,49,35.05
05-12-2015,Beaver Creek,Super G,23,19.86
04-12-2015,Beaver Creek,Downhill,32,30.90
29-11-2015,Lake Louise,Super G,DNF1,
28-11-2015,Lake Louise,Downhill,49,38.68
08-03-2015,Kvitfjell,Super G,25,23.50
07-03-2015,Kvitfjell,Downhill,30,17.15
22-02-2015,Saalbach,Super G,29,28.08
21-02-2015,Saalbach,Downhill,26,29.36
19-12-2014,Val Gardena / Groeden,Downhill,47,51.88
03-03-2013,Kvitfjell,Super G,49,45.26
29-12-2012,Bormio,Downhill,DNF1,
