datum,kraj,disciplina,mesto,zaostanek
17-03-2016,St. Moritz,Super G,DNF1,
13-03-2016,Kvitfjell,Super G,DNF1,
27-02-2016,Hinterstoder,Super G,7,12.01
20-02-2016,Chamonix,Downhill,27,19.75
19-02-2016,Chamonix,Alpine combined,DNS1,
07-02-2016,Jeongseon,Super G,23,30.21
06-02-2016,Jeongseon,Downhill,38,29.59
30-01-2016,Garmisch Partenkirchen,Downhill,14,9.22
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Alpine combined,DNF1,
22-01-2016,Kitzbuehel,Super G,DNF1,
16-01-2016,Wengen,Downhill,48,58.94
15-01-2016,Wengen,Alpine combined,23,24.95
29-12-2015,Santa Caterina,Downhill,DNS1,
18-12-2015,Val Gardena / Groeden,Super G,8,15.32
05-12-2015,Beaver Creek,Super G,49,40.20
04-12-2015,Beaver Creek,Downhill,DNF1,
29-11-2015,Lake Louise,Super G,16,17.90
28-11-2015,Lake Louise,Downhill,20,20.97
08-03-2015,Kvitfjell,Super G,27,24.72
22-02-2015,Saalbach,Super G,23,22.18
21-02-2015,Saalbach,Downhill,32,33.23
24-01-2015,Kitzbuehel,Downhill,19,18.27
23-01-2015,Kitzbuehel,Alpine combined,23,43.87
23-01-2015,Kitzbuehel,Super G,31,27.16
20-12-2014,Val Gardena / Groeden,Super G,43,28.76
06-12-2014,Beaver Creek,Super G,DNF1,
30-11-2014,Lake Louise,Super G,16,12.32
