datum,kraj,disciplina,mesto,zaostanek
13-03-2016,Lenzerheide,Alpine combined,25,86.85
12-03-2016,Lenzerheide,Super G,53,78.12
28-02-2016,Soldeu- El Tarter,Alpine combined,36,81.54
27-02-2016,Soldeu- El Tarter,Super G,58,109.26
30-11-2014,Aspen,Slalom,DNQ1,
02-03-2014,Crans Montana,Downhill,39,81.33
14-01-2014,Flachau,Slalom,DNQ1,
12-01-2014,Altenmarkt / Zauchensee,Super Combined,36,74.83
11-01-2014,Altenmarkt / Zauchensee,Downhill,52,96.65
30-11-2013,Beaver Creek,Super G,51,126.40
29-11-2013,Beaver Creek,Downhill,54,107.02
10-03-2013,Ofterschwang,Slalom,DNQ1,
09-03-2013,Ofterschwang,Giant Slalom,DNQ1,
23-02-2013,Meribel,Downhill,44,100.45
26-01-2013,Maribor,Giant Slalom,DNS1,
19-01-2013,Cortina d'Ampezzo,Downhill,49,120.62
15-01-2013,Flachau,Slalom,DNQ1,
13-01-2013,St. Anton,Super G,DNS1,
04-01-2013,Zagreb,Slalom,DNQ1,
29-12-2012,Semmering,Slalom,DNQ1,
28-12-2012,Semmering,Giant Slalom,DNQ1,
16-12-2012,Courchevel,Giant Slalom,DNF1,
09-12-2012,St. Moritz,Giant Slalom,DNQ1,
08-12-2012,St. Moritz,Super G,DNF1,
07-12-2012,St. Moritz,Super Combined,35,79.18
25-11-2012,"Aspen, CO",Slalom,DNQ1,
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1,
10-03-2012,Are,Slalom,DNQ1,
09-03-2012,Are,Giant Slalom,DNF1,
04-03-2012,Ofterschwang,Slalom,DNQ1,
03-03-2012,Ofterschwang,Giant Slalom,DNQ1,
02-03-2012,Ofterschwang,Giant Slalom,DNQ1,
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNF1,
11-02-2012,Soldeu-Grandvalira,Slalom,DNQ1,
28-01-2012,St. Moritz,Downhill,49,125.62
22-01-2012,Kranjska Gora,Slalom,DNF1,
21-01-2012,Kranjska Gora,Giant Slalom,DNF1,
