datum,kraj,disciplina,mesto
21-03-2015,Meribel,Giant Slalom,10
14-03-2015,Kranjska Gora,Giant Slalom,10
01-03-2015,Garmisch Partenkirchen,Giant Slalom,26
10-01-2015,Adelboden,Giant Slalom,23
21-12-2014,Alta Badia,Giant Slalom,DNF2
12-12-2014,Are,Giant Slalom,19
07-12-2014,Beaver Creek,Giant Slalom,19
26-10-2014,Soelden,Giant Slalom,6
15-03-2014,Lenzerheide,Giant Slalom,DNF2
08-03-2014,Kranjska Gora,Giant Slalom,11
02-02-2014,St. Moritz,Giant Slalom,27
11-01-2014,Adelboden,Giant Slalom,7
22-12-2013,Alta Badia,Giant Slalom,21
14-12-2013,Val d'Isere,Giant Slalom,16
08-12-2013,Beaver Creek,Giant Slalom,26
27-10-2013,Soelden,Giant Slalom,DNF1
16-03-2013,Lenzerheide,Giant Slalom,12
09-03-2013,Kranjska Gora,Giant Slalom,13
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,DNF1
12-01-2013,Adelboden,Giant Slalom,10
16-12-2012,Alta Badia,Giant Slalom,5
09-12-2012,Val d'Isere,Giant Slalom,DNQ1
02-12-2012,Beaver Creek,Giant Slalom,3
28-10-2012,Soelden,Giant Slalom,DNF2
17-03-2012,Schladming,Giant Slalom,7
10-03-2012,Kranjska Gora,Giant Slalom,5
26-02-2012,Crans Montana,Giant Slalom,25
18-02-2012,Bansko,Giant Slalom,15
07-01-2012,Adelboden,Giant Slalom,13
18-12-2011,Alta Badia,Giant Slalom,10
06-12-2011,Beaver Creek,Giant Slalom,9
04-12-2011,Beaver Creek,Giant Slalom,13
23-10-2011,Soelden,Giant Slalom,21
05-03-2011,Kranjska Gora,Giant Slalom,26
06-02-2011,Hinterstoder,Giant Slalom,DNF2
08-01-2011,Adelboden,Giant Slalom,12
19-12-2010,Alta Badia,Giant Slalom,10
11-12-2010,Val d'Isere,Giant Slalom,7
05-12-2010,Beaver Creek,Giant Slalom,14
12-03-2010,Garmisch Partenkirchen,Giant Slalom,2
30-01-2010,Kranjska Gora,Giant Slalom,5
29-01-2010,Kranjska Gora,Giant Slalom,5
20-12-2009,Alta Badia,Giant Slalom,2
13-12-2009,Val d'Isere,Giant Slalom,DNF1
06-12-2009,Beaver Creek,Giant Slalom,9
25-10-2009,Soelden,Giant Slalom,8
13-03-2009,Are,Giant Slalom,17
28-02-2009,Kranjska Gora,Giant Slalom,DNQ1
21-02-2009,Sestriere,Giant Slalom,23
10-01-2009,Adelboden,Giant Slalom,21
