datum,kraj,disciplina,mesto,zaostanek
12-03-2016,Kvitfjell,Downhill,DNF1,
20-02-2016,Chamonix,Downhill,50,35.37
07-02-2016,Jeongseon,Super G,32,36.35
06-02-2016,Jeongseon,Downhill,37,29.22
30-01-2016,Garmisch Partenkirchen,Downhill,8,7.48
23-01-2016,Kitzbuehel,Downhill,DNS1,
22-01-2016,Kitzbuehel,Super G,40,39.26
16-01-2016,Wengen,Downhill,50,61.47
15-01-2016,Wengen,Alpine combined,DNS2,
29-12-2015,Santa Caterina,Downhill,39,50.68
19-12-2015,Val Gardena / Groeden,Downhill,48,37.13
18-12-2015,Val Gardena / Groeden,Super G,44,30.76
04-12-2015,Beaver Creek,Downhill,DNF1,
28-11-2015,Lake Louise,Downhill,37,29.01
07-03-2015,Kvitfjell,Downhill,43,23.70
21-02-2015,Saalbach,Downhill,34,36.08
24-01-2015,Kitzbuehel,Downhill,39,27.51
23-01-2015,Kitzbuehel,Super G,38,33.95
18-01-2015,Wengen,Downhill,39,34.74
28-12-2014,Santa Caterina,Downhill,47,39.22
19-12-2014,Val Gardena / Groeden,Downhill,46,50.48
05-12-2014,Beaver Creek,Downhill,51,46.17
29-11-2014,Lake Louise,Downhill,55,32.10
02-03-2014,Kvitfjell,Super G,46,30.22
01-03-2014,Kvitfjell,Downhill,52,37.35
28-02-2014,Kvitfjell,Downhill,35,25.64
26-01-2014,Kitzbuehel,Super G,34,14.47
25-01-2014,Kitzbuehel,Downhill,30,29.65
18-01-2014,Wengen,Downhill,39,24.99
29-12-2013,Bormio,Downhill,51,39.51
21-12-2013,Val Gardena / Groeden,Downhill,41,40.52
20-12-2013,Val Gardena / Groeden,Super G,53,58.30
07-12-2013,Beaver Creek,Super G,51,53.06
06-12-2013,Beaver Creek,Downhill,20,22.94
01-12-2013,Lake Louise,Super G,62,49.58
30-11-2013,Lake Louise,Downhill,33,33.78
03-03-2013,Kvitfjell,Super G,23,24.79
02-03-2013,Kvitfjell,Downhill,DNF1,
23-02-2013,Garmisch-Partenkirchen,Downhill,7,7.00
26-01-2013,Kitzbuehel,Downhill,DSQ1,
25-01-2013,Kitzbuehel,Super G,DNF1,
19-01-2013,Wengen,Downhill,7,12.34
29-12-2012,Bormio,Downhill,DNF1,
15-12-2012,Val Gardena-Groeden,Downhill,17,14.65
14-12-2012,Val Gardena-Groeden,Super G,40,35.31
01-12-2012,Beaver Creek,Super G,46,45.27
30-11-2012,Beaver Creek,Downhill,23,20.61
25-11-2012,Lake Louise,Super G,38,30.19
24-11-2012,Lake Louise,Downhill,26,29.22
14-03-2012,Schladming,Downhill,20,38.48
04-03-2012,Kvitfjell,Super G,35,29.88
03-03-2012,Kvitfjell,Downhill,32,31.31
02-03-2012,Kvitfjell,Super G,18,14.35
25-02-2012,Crans Montana,Super G,43,50.88
24-02-2012,Crans Montana,Super G,46,44.40
11-02-2012,Sochi,Downhill,26,22.41
04-02-2012,Chamonix,Downhill,10,13.81
03-02-2012,Chamonix,Downhill,20,11.24
28-01-2012,Garmisch-Partenkirchen,Downhill,4,7.51
21-01-2012,Kitzbuehel,Downhill,7,8.53
14-01-2012,Wengen,Downhill,24,20.55
29-12-2011,Bormio,Downhill,13,17.80
16-12-2011,Val Gardena-Groeden,Super G,36,24.84
