datum,kraj,disciplina,mesto
19-03-2015,Meribel,Super G,16
08-03-2015,Garmisch Partenkirchen,Super G,15
07-03-2015,Garmisch Partenkirchen,Downhill,20
02-03-2015,Bansko,Super G,29
25-01-2015,St.Moritz,Super G,8
24-01-2015,St.Moritz,Downhill,29
19-01-2015,Cortina d'Ampezzo,Super G,16
18-01-2015,Cortina d'Ampezzo,Downhill,26
16-01-2015,Cortina d'Ampezzo,Downhill,31
21-12-2014,Val d Isere,Super G,DNF1
20-12-2014,Val d Isere,Downhill,26
07-12-2014,Lake Louise,Super G,25
06-12-2014,Lake Louise,Downhill,31
05-12-2014,Lake Louise,Downhill,32
13-03-2014,Lenzerheide,Super G,5
12-03-2014,Lenzerheide,Downhill,12
02-03-2014,Crans Montana,Downhill,13
26-01-2014,Cortina d Ampezzo,Super G,14
25-01-2014,Cortina d Ampezzo,Downhill,18
24-01-2014,Cortina d Ampezzo,Downhill,13
23-01-2014,Cortina d Ampezzo,Super G,15
11-01-2014,Altenmarkt / Zauchensee,Downhill,10
21-12-2013,Val d'Isere,Downhill,16
14-12-2013,St. Moritz,Super G,12
08-12-2013,Lake Louise,Super G,15
07-12-2013,Lake Louise,Downhill,30
06-12-2013,Lake Louise,Downhill,18
30-11-2013,Beaver Creek,Super G,19
29-11-2013,Beaver Creek,Downhill,10
03-03-2013,Garmisch-Partenkirchen,Super G,11
02-03-2013,Garmisch-Partenkirchen,Downhill,16
01-03-2013,Garmisch-Partenkirchen,Super G,21
24-02-2013,Meribel,Super Combined,DNF1
23-02-2013,Meribel,Downhill,5
20-01-2013,Cortina d'Ampezzo,Super G,13
19-01-2013,Cortina d'Ampezzo,Downhill,5
13-01-2013,St. Anton,Super G,22
12-01-2013,St. Anton,Downhill,13
14-12-2012,Val d'Isere,Downhill,22
08-12-2012,St. Moritz,Super G,10
02-12-2012,Lake Louise,Super G,21
01-12-2012,Lake Louise,Downhill,25
30-11-2012,Lake Louise,Downhill,12
26-02-2012,Bansko,Super G,17
18-02-2012,Sochi,Downhill,39
05-02-2012,Garmisch-Partenkirchen,Super G,21
04-02-2012,Garmisch-Partenkirchen,Downhill,28
29-01-2012,St. Moritz,Super Combined,33
28-01-2012,St. Moritz,Downhill,34
27-01-2012,St. Moritz,Super Combined,23
15-01-2012,Cortina d'Ampezzo,Super G,16
14-01-2012,Cortina d'Ampezzo,Downhill,38
08-01-2012,Bad Kleinkirchheim,Super G,31
07-01-2012,Bad Kleinkirchheim,Downhill,DNF1
07-12-2011,Beaver Creek,Super G,DNF1
04-12-2011,Lake Louise,Super G,20
03-12-2011,Lake Louise,Downhill,25
02-12-2011,Lake Louise,Downhill,41
06-03-2011,Tarvisio,Super G,29
05-03-2011,Tarvisio,Downhill,25
04-03-2011,Tarvisio,Super Combined,25
27-02-2011,Are,Super G,18
26-02-2011,Are,Downhill,15
25-02-2011,Are,Super Combined,28
23-01-2011,Cortina d Ampezzo,Super G,6
22-01-2011,Cortina d Ampezzo,Downhill,21
21-01-2011,Cortina d Ampezzo,Super G,24
09-01-2011,Zauchensee,Super G,8
08-01-2011,Zauchensee,Downhill,23
18-12-2010,Val d'Isere,Downhill,14
05-12-2010,Lake Louise,Super G,28
04-12-2010,Lake Louise,Downhill,38
03-12-2010,Lake Louise,Downhill,37
07-03-2010,Crans Montana,Super G,36
06-03-2010,Crans Montana,Downhill,8
31-01-2010,St. Moritz,Super G,21
30-01-2010,St. Moritz,Downhill,35
29-01-2010,St. Moritz,Super Combined,32
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNQ1
23-01-2010,Cortina d'Ampezzo,Downhill,37
22-01-2010,Cortina d'Ampezzo,Super G,18
16-01-2010,Maribor,Giant Slalom,DNQ1
10-01-2010,Haus im Ennstal,Super G,13
09-01-2010,Haus im Ennstal,Downhill,37
08-01-2010,Haus im Ennstal,Downhill,29
28-12-2009,Lienz,Giant Slalom,DNQ1
20-12-2009,Val d'Isere,Super G,31
18-12-2009,Val d'Isere,Super Combined,36
12-12-2009,Are,Giant Slalom,DNF1
06-12-2009,Lake Louise,Super G,36
05-12-2009,Lake Louise,Downhill,47
04-12-2009,Lake Louise,Downhill,50
28-11-2009,Aspen,Giant Slalom,DNQ1
24-10-2009,Soelden,Giant Slalom,DNQ1
12-03-2009,Are,Super G,20
01-03-2009,Bansko,Super G,9
28-02-2009,Bansko,Downhill,DNF1
27-02-2009,Bansko,Downhill,27
22-02-2009,Tarvisio,Super G,12
21-02-2009,Tarvisio,Downhill,39
20-02-2009,Tarvisio,Super Combined,34
01-02-2009,Garmisch Partenkirchen,Super G,27
26-01-2009,Cortina d'Ampezzo,Super G,25
25-01-2009,Cortina d'Ampezzo,Giant Slalom,DNQ1
24-01-2009,Cortina d'Ampezzo,Downhill,37
18-01-2009,Altenmarkt-Zauchensee,Downhill,35
17-01-2009,Altenmarkt-Zauchensee,Super Combined,28
10-01-2009,Maribor,Giant Slalom,DNQ1
20-12-2008,St. Moritz,Super G,32
19-12-2008,St. Moritz,Super Combined,17
13-12-2008,La Molina,Giant Slalom,DNQ1
07-12-2008,Lake Louise,Super G,23
05-12-2008,Lake Louise,Downhill,47
29-11-2008,Aspen,Giant Slalom,DNF2
25-10-2008,Soelden,Giant Slalom,DNQ1
26-01-2008,Ofterschwang,Giant Slalom,DNF1
28-12-2007,Lienz,Giant Slalom,DNQ1
14-01-2007,Altenmarkt-Zauchensee,Super Combined,36
