datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,11
07-03-2016,Jasna,Giant Slalom,DNQ1
06-03-2016,Jasna,Slalom,24
23-02-2016,Stockholm,City Event,9
15-02-2016,Crans Montana,Slalom,8
15-01-2016,Flachau,Slalom,28
12-01-2016,Flachau,Slalom,15
05-01-2016,Santa Caterina Valfurva,Slalom,14
29-12-2015,Lienz,Slalom,15
13-12-2015,Are,Slalom,18
29-11-2015,"Aspen, CO",Slalom,10
28-11-2015,"Aspen, CO",Slalom,15
13-01-2015,Flachau,Slalom,DNS1
04-01-2015,Zagreb,Slalom,13
29-12-2014,Kuehtai in Tirol,Slalom,27
13-12-2014,Are,Slalom,17
30-11-2014,Aspen,Slalom,11
15-11-2014,Levi,Slalom,18
08-03-2014,Are,Slalom,14
02-02-2014,Kranjska Gora,Slalom,DNQ1
14-01-2014,Flachau,Slalom,DNQ1
05-01-2014,Bormio,Slalom,DNQ1
29-12-2013,Lienz,Slalom,16
22-12-2013,Val d'Isere,Giant Slalom,DNQ1
17-12-2013,Courchevel,Slalom,21
01-12-2013,Beaver Creek,Giant Slalom,DNQ1
16-11-2013,Levi,Slalom,DNQ1
10-03-2013,Ofterschwang,Slalom,DNS1
09-03-2013,Ofterschwang,Giant Slalom,DNQ1
27-01-2013,Maribor,Slalom,25
15-01-2013,Flachau,Slalom,DNQ1
04-01-2013,Zagreb,Slalom,9
29-12-2012,Semmering,Slalom,26
20-12-2012,Are,Slalom,27
19-12-2012,Are,Giant Slalom,DNF1
16-12-2012,Courchevel,Giant Slalom,DNQ1
25-11-2012,"Aspen, CO",Slalom,DNQ1
10-03-2012,Are,Slalom,22
09-03-2012,Are,Giant Slalom,13
04-03-2012,Ofterschwang,Slalom,2
03-03-2012,Ofterschwang,Giant Slalom,22
02-03-2012,Ofterschwang,Giant Slalom,DNQ1
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNQ1
11-02-2012,Soldeu-Grandvalira,Slalom,DNQ1
22-01-2012,Kranjska Gora,Slalom,DNF1
21-01-2012,Kranjska Gora,Giant Slalom,DNQ1
03-01-2012,Zagreb,Slalom,25
29-12-2011,Lienz,Slalom,27
20-12-2011,Flachau,Slalom,DNQ1
