datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,9
06-03-2016,Jasna,Slalom,8
15-02-2016,Crans Montana,Slalom,7
15-01-2016,Flachau,Slalom,5
12-01-2016,Flachau,Slalom,2
05-01-2016,Santa Caterina Valfurva,Slalom,2
29-12-2015,Lienz,Slalom,5
13-12-2015,Are,Slalom,7
29-11-2015,"Aspen, CO",Slalom,3
28-11-2015,"Aspen, CO",Slalom,4
21-03-2015,Meribel,Slalom,5
14-03-2015,Are,Slalom,3
22-02-2015,Maribor,Slalom,3
13-01-2015,Flachau,Slalom,9
04-01-2015,Zagreb,Slalom,DNF2
29-12-2014,Kuehtai in Tirol,Slalom,2
13-12-2014,Are,Slalom,10
30-11-2014,Aspen,Slalom,6
29-11-2014,Aspen,Giant Slalom,DNQ1
15-11-2014,Levi,Slalom,7
25-10-2014,Soelden,Giant Slalom,DNQ1
15-03-2014,Lenzerheide,Slalom,7
08-03-2014,Are,Slalom,6
07-03-2014,Are,Giant Slalom,DNQ1
06-03-2014,Are,Giant Slalom,DNQ1
02-02-2014,Kranjska Gora,Slalom,9
14-01-2014,Flachau,Slalom,15
12-01-2014,Altenmarkt / Zauchensee,Super Combined,9
05-01-2014,Bormio,Slalom,17
29-12-2013,Lienz,Slalom,12
17-12-2013,Courchevel,Slalom,18
07-12-2013,Lake Louise,Downhill,55
06-12-2013,Lake Louise,Downhill,53
29-11-2013,Beaver Creek,Downhill,51
16-11-2013,Levi,Slalom,DNQ1
16-03-2013,Lenzerheide,Slalom,14
10-03-2013,Ofterschwang,Slalom,DNF1
27-01-2013,Maribor,Slalom,28
15-01-2013,Flachau,Slalom,8
04-01-2013,Zagreb,Slalom,22
29-12-2012,Semmering,Slalom,22
20-12-2012,Are,Slalom,14
19-12-2012,Are,Giant Slalom,DNQ1
25-11-2012,"Aspen, CO",Slalom,14
10-11-2012,Levi,Slalom,13
17-03-2012,Schladming,Slalom,18
10-03-2012,Are,Slalom,27
04-03-2012,Ofterschwang,Slalom,21
11-02-2012,Soldeu-Grandvalira,Slalom,16
22-01-2012,Kranjska Gora,Slalom,16
21-01-2012,Kranjska Gora,Giant Slalom,DNQ1
03-01-2012,Zagreb,Slalom,20
29-12-2011,Lienz,Slalom,DNQ1
20-12-2011,Flachau,Slalom,DNF1
18-12-2011,Courchevel,Slalom,DNF1
27-11-2011,Aspen,Slalom,13
18-03-2011,Lenzerheide,Slalom,17
12-03-2011,Spindleruv Mlyn,Slalom,20
04-03-2011,Tarvisio,Super Combined,33
06-02-2011,Arber-Zwiesel,Giant Slalom,DNQ1
04-02-2011,Arber-Zwiesel,Slalom,5
11-01-2011,Flachau,Slalom,DNF1
04-01-2011,Zagreb,Slalom,19
29-12-2010,Semmering,Slalom,10
28-12-2010,Semmering,Giant Slalom,DNQ1
21-12-2010,Courchevel,Slalom,10
19-12-2010,Val d'Isere,Super Combined,DSQ1
28-11-2010,Aspen,Slalom,12
27-11-2010,Aspen,Giant Slalom,DNQ1
13-11-2010,Levi,Slalom,7
23-10-2010,Soelden,Giant Slalom,DNQ1
13-03-2010,Garmisch Partenkirchen,Slalom,9
31-01-2010,St. Moritz,Super G,DNS1
29-01-2010,St. Moritz,Super Combined,16
24-01-2010,Cortina d'Ampezzo,Giant Slalom,20
22-01-2010,Cortina d'Ampezzo,Super G,45
17-01-2010,Maribor,Slalom,9
16-01-2010,Maribor,Giant Slalom,DNQ1
12-01-2010,Flachau,Slalom,7
10-01-2010,Haus im Ennstal,Super G,48
03-01-2010,Zagreb,Slalom,5
29-12-2009,Lienz,Slalom,6
28-12-2009,Lienz,Giant Slalom,DNQ1
13-12-2009,Are,Slalom,7
12-12-2009,Are,Giant Slalom,DNQ1
29-11-2009,Aspen,Slalom,1
28-11-2009,Aspen,Giant Slalom,DNF1
14-11-2009,Levi,Slalom,8
24-10-2009,Soelden,Giant Slalom,DSQ2
14-03-2009,Are,Giant Slalom,22
13-03-2009,Are,Slalom,3
12-03-2009,Are,Super G,22
07-03-2009,Ofterschwang,Slalom,4
06-03-2009,Ofterschwang,Giant Slalom,DNF1
22-02-2009,Tarvisio,Super G,49
20-02-2009,Tarvisio,Super Combined,16
01-02-2009,Garmisch Partenkirchen,Super G,24
30-01-2009,Garmisch Partenkirchen,Slalom,5
26-01-2009,Cortina d'Ampezzo,Super G,27
25-01-2009,Cortina d'Ampezzo,Giant Slalom,DSQ1
17-01-2009,Altenmarkt-Zauchensee,Super Combined,16
11-01-2009,Maribor,Slalom,13
10-01-2009,Maribor,Giant Slalom,DNQ1
04-01-2009,Zagreb,Slalom,3
29-12-2008,Semmering,Slalom,5
28-12-2008,Semmering,Giant Slalom,24
20-12-2008,St. Moritz,Super G,41
19-12-2008,St. Moritz,Super Combined,6
14-12-2008,La Molina,Slalom,4
13-12-2008,La Molina,Giant Slalom,23
07-12-2008,Lake Louise,Super G,18
05-12-2008,Lake Louise,Downhill,31
30-11-2008,Aspen,Slalom,1
29-11-2008,Aspen,Giant Slalom,17
15-11-2008,Levi,Slalom,9
25-10-2008,Soelden,Giant Slalom,DNQ1
15-03-2008,Bormio,Giant Slalom,18
14-03-2008,Bormio,Slalom,3
13-03-2008,Bormio,Super G,18
09-03-2008,Crans-Montana,Super Combined,17
08-03-2008,Crans-Montana,Downhill,37
15-02-2008,Zagreb-Sljeme,Slalom,6
10-02-2008,Sestriere,Super G,29
03-02-2008,St. Moritz,Super G,41
27-01-2008,Ofterschwang,Slalom,7
26-01-2008,Ofterschwang,Giant Slalom,17
21-01-2008,Cortina d'Ampezzo,Super G,26
20-01-2008,Cortina d'Ampezzo,Super G,29
13-01-2008,Maribor,Slalom,4
12-01-2008,Maribor,Giant Slalom,21
06-01-2008,Spindleruv Mlyn,Slalom,5
05-01-2008,Spindleruv Mlyn,Giant Slalom,27
29-12-2007,Lienz,Slalom,DNQ1
28-12-2007,Lienz,Giant Slalom,DNQ1
16-12-2007,St. Moritz,Super G,22
09-12-2007,"Aspen, CO",Slalom,5
02-12-2007,"Lake Louise, AB",Super G,15
01-12-2007,"Lake Louise, AB",Downhill,43
25-11-2007,"Panorama, BC",Slalom,2
24-11-2007,"Panorama, BC",Giant Slalom,11
10-11-2007,Reiteralm,Slalom,7
27-10-2007,Soelden,Giant Slalom,20
18-03-2007,Lenzerheide,Giant Slalom,16
17-03-2007,Lenzerheide,Slalom,6
11-03-2007,Zwiesel,Slalom,2
10-03-2007,Zwiesel,Giant Slalom,12
02-03-2007,Tarvisio,Super Combined,24
25-02-2007,Sierra Nevada,Slalom,6
24-02-2007,Sierra Nevada,Giant Slalom,26
21-01-2007,Cortina d'Ampezzo,Giant Slalom,22
19-01-2007,Cortina d'Ampezzo,Super G,26
14-01-2007,Altenmarkt-Zauchensee,Super Combined,5
07-01-2007,Kranjska Gora,Slalom,2
06-01-2007,Kranjska Gora,Giant Slalom,7
04-01-2007,Zagreb-Sljeme,Slalom,3
29-12-2006,Semmering,Slalom,8
28-12-2006,Semmering,Giant Slalom,DNQ1
21-12-2006,Val d'Isere,Slalom,8
16-12-2006,Reiteralm,Super G,25
15-12-2006,Reiteralm,Super Combined,5
26-11-2006,"Aspen, CO",Slalom,10
25-11-2006,"Aspen, CO",Giant Slalom,23
11-11-2006,Levi,Slalom,16
17-03-2006,Are,Slalom,10
11-03-2006,Levi,Slalom,11
10-03-2006,Levi,Slalom,12
05-03-2006,Hafjell/Kvitfjell,Giant Slalom,DNF1
04-03-2006,Hafjell/Kvitfjell,Super Combined,DNF
03-03-2006,Hafjell/Kvitfjell,Super G,34
05-02-2006,Ofterschwang,Slalom,14
04-02-2006,Ofterschwang,Giant Slalom,DNF2
03-02-2006,Ofterschwang,Giant Slalom,24
29-01-2006,Cortina d'Ampezzo,Giant Slalom,29
22-01-2006,St. Moritz,Super Combined,18
21-01-2006,St. Moritz,Downhill,47
20-01-2006,St. Moritz,Super G,35
08-01-2006,Maribor,Slalom,13
05-01-2006,Zagreb-Sljeme,Slalom,8
29-12-2005,Lienz,Slalom,11
28-12-2005,Lienz,Giant Slalom,DNQ1
22-12-2005,Spindleruv Mlyn,Slalom,8
21-12-2005,Spindleruv Mlyn,Giant Slalom,27
11-12-2005,"Aspen, CO",Slalom,23
