datum,kraj,disciplina,mesto
13-03-2016,Kvitfjell,Super G,36
12-03-2016,Kvitfjell,Downhill,18
20-02-2016,Chamonix,Downhill,39
07-02-2016,Jeongseon,Super G,37
06-02-2016,Jeongseon,Downhill,18
30-01-2016,Garmisch Partenkirchen,Downhill,DNF1
23-01-2016,Kitzbuehel,Downhill,22
22-01-2016,Kitzbuehel,Super G,DNF1
16-01-2016,Wengen,Downhill,30
29-12-2015,Santa Caterina,Downhill,42
19-12-2015,Val Gardena / Groeden,Downhill,35
18-12-2015,Val Gardena / Groeden,Super G,46
04-12-2015,Beaver Creek,Downhill,DNF1
29-11-2015,Lake Louise,Super G,47
28-11-2015,Lake Louise,Downhill,41
18-03-2015,Meribel,Downhill,8
08-03-2015,Kvitfjell,Super G,26
07-03-2015,Kvitfjell,Downhill,12
28-02-2015,Garmisch Partenkirchen,Downhill,6
22-02-2015,Saalbach,Super G,DNF1
21-02-2015,Saalbach,Downhill,19
24-01-2015,Kitzbuehel,Downhill,41
23-01-2015,Kitzbuehel,Super G,DNF1
18-01-2015,Wengen,Downhill,44
28-12-2014,Santa Caterina,Downhill,29
20-12-2014,Val Gardena / Groeden,Super G,55
19-12-2014,Val Gardena / Groeden,Downhill,42
05-12-2014,Beaver Creek,Downhill,38
30-11-2014,Lake Louise,Super G,DNF1
29-11-2014,Lake Louise,Downhill,5
02-03-2014,Kvitfjell,Super G,55
01-03-2014,Kvitfjell,Downhill,24
28-02-2014,Kvitfjell,Downhill,21
26-01-2014,Kitzbuehel,Super G,44
25-01-2014,Kitzbuehel,Downhill,19
18-01-2014,Wengen,Downhill,16
29-12-2013,Bormio,Downhill,22
21-12-2013,Val Gardena / Groeden,Downhill,16
07-12-2013,Beaver Creek,Super G,47
06-12-2013,Beaver Creek,Downhill,28
01-12-2013,Lake Louise,Super G,51
30-11-2013,Lake Louise,Downhill,38
03-03-2013,Kvitfjell,Super G,DNF1
02-03-2013,Kvitfjell,Downhill,23
23-02-2013,Garmisch-Partenkirchen,Downhill,19
26-01-2013,Kitzbuehel,Downhill,23
19-01-2013,Wengen,Downhill,13
15-12-2012,Val Gardena-Groeden,Downhill,18
14-12-2012,Val Gardena-Groeden,Super G,44
01-12-2012,Beaver Creek,Super G,43
30-11-2012,Beaver Creek,Downhill,18
25-11-2012,Lake Louise,Super G,39
24-11-2012,Lake Louise,Downhill,3
04-03-2012,Kvitfjell,Super G,DNF1
03-03-2012,Kvitfjell,Downhill,35
02-03-2012,Kvitfjell,Super G,38
25-02-2012,Crans Montana,Super G,45
24-02-2012,Crans Montana,Super G,DNF1
11-02-2012,Sochi,Downhill,39
04-02-2012,Chamonix,Downhill,36
03-02-2012,Chamonix,Downhill,27
28-01-2012,Garmisch-Partenkirchen,Downhill,28
21-01-2012,Kitzbuehel,Downhill,17
14-01-2012,Wengen,Downhill,27
29-12-2011,Bormio,Downhill,33
16-12-2011,Val Gardena-Groeden,Super G,42
03-12-2011,Beaver Creek,Super G,43
02-12-2011,Beaver Creek,Downhill,28
27-11-2011,Lake Louise,Super G,17
26-11-2011,Lake Louise,Downhill,24
18-12-2010,Val Gardena-Groeden,Downhill,DNF1
17-12-2010,Val Gardena-Groeden,Super G,30
04-12-2010,Beaver Creek,Super G,DNF1
28-11-2010,Lake Louise,Super G,46
27-11-2010,Lake Louise,Downhill,54
07-03-2010,Kvitfjell,Super G,DNS1
23-01-2010,Kitzbuehel,Downhill,18
22-01-2010,Kitzbuehel,Super G,11
16-01-2010,Wengen,Downhill,36
29-12-2009,Bormio,Downhill,28
19-12-2009,Val Gardena - Groeden,Downhill,12
18-12-2009,Val Gardena - Groeden,Super G,21
12-12-2009,Val d'Isere,Super G,DNF1
05-12-2009,Beaver Creek,Downhill,14
29-11-2009,Lake Louise,Super G,15
28-11-2009,Lake Louise,Downhill,53
12-03-2009,Are,Super G,28
11-03-2009,Are,Downhill,21
07-03-2009,Kvitfjell,Downhill,19
06-03-2009,Kvitfjell,Downhill,14
24-01-2009,Kitzbuehel,Downhill,24
23-01-2009,Kitzbuehel,Super G,16
17-01-2009,Wengen,Downhill,3
28-12-2008,Bormio,Downhill,11
20-12-2008,Val Gardena - Groeden,Downhill,4
19-12-2008,Val Gardena - Groeden,Super G,5
06-12-2008,Beaver Creek,Super G,22
05-12-2008,Beaver Creek,Downhill,DNF1
30-11-2008,Lake Louise,Super G,5
29-11-2008,Lake Louise,Downhill,23
02-03-2008,Kvitfjell,Super G,17
01-03-2008,Kvitfjell,Downhill,DNF1
29-02-2008,Kvitfjell,Downhill,DNF1
21-02-2008,"Whistler, BC",Super G,DNF1
26-01-2008,Chamonix,Downhill,1
19-01-2008,Kitzbuehel,Downhill,6
18-01-2008,Kitzbuehel,Super G,10
13-01-2008,Wengen,Downhill,7
11-01-2008,Wengen,Super Combined,DNS2
29-12-2007,Bormio,Downhill,12
15-12-2007,Val Gardena-Groeden,Downhill,41
14-12-2007,Val Gardena-Groeden,Super G,27
30-11-2007,"Beaver Creek, CO",Downhill,40
29-11-2007,"Beaver Creek, CO",Super Combined,DNS2
25-11-2007,"Lake Louise, AB",Super G,35
24-11-2007,"Lake Louise, AB",Downhill,2
14-03-2007,Lenzerheide,Downhill,DNF1
11-03-2007,Kvitfjell,Super G,52
10-03-2007,Kvitfjell,Downhill,46
09-03-2007,Kvitfjell,Super Combined,DNS
24-02-2007,Garmisch-Partenkirchen,Downhill,37
23-02-2007,Garmisch-Partenkirchen,Downhill,DNF1
20-01-2007,Val d'Isere,Downhill,20
13-01-2007,Wengen,Downhill,DNF1
29-12-2006,Bormio,Downhill,12
28-12-2006,Bormio,Downhill,13
20-12-2006,Hinterstoder,Super G,46
16-12-2006,Gardena/Groeden,Downhill,4
15-12-2006,Gardena/Groeden,Super G,31
10-12-2006,Reiteralm,Super Combined,DNF2
01-12-2006,"Beaver Creek, CO",Downhill,10
30-11-2006,"Beaver Creek, CO",Super Combined,21
26-11-2006,"Lake Louise, AB",Super G,DNF1
25-11-2006,"Lake Louise, AB",Downhill,26
03-02-2006,Chamonix,Super Combined,DNS
29-01-2006,Garmisch-Partenkirchen,Super G,DNF1
28-01-2006,Garmisch-Partenkirchen,Downhill,19
21-01-2006,Kitzbuehel,Downhill,14
20-01-2006,Kitzbuehel,Super G,38
14-01-2006,Wengen,Downhill,16
13-01-2006,Wengen,Super Combined,DNS
29-12-2005,Bormio,Downhill,36
17-12-2005,Gardena/Groeden,Downhill,37
16-12-2005,Gardena/Groeden,Super G,23
10-12-2005,Val d'Isere,Downhill,50
02-12-2005,"Beaver Creek, CO",Downhill,DNF1
01-12-2005,"Beaver Creek, CO",Super G,DNF1
26-11-2005,"Lake Louise, AB",Downhill,39
30-11-2003,"Lake Louise, AB",Super G,34
29-11-2003,"Lake Louise, AB",Downhill,DSQ1
12-03-2003,Lillehammer,Downhill,24
23-02-2003,Garmisch-Partenkirchen,Super G,DNF1
22-02-2003,Garmisch-Partenkirchen,Downhill,DNF1
27-01-2003,Kitzbuehel,Super G,DNF1
25-01-2003,Kitzbuehel,Downhill,DNS1
19-01-2003,Wengen,Combined,DNF
19-01-2003,Wengen,Slalom,DNF1
18-01-2003,Wengen,Downhill,15
17-01-2003,Wengen,Downhill,14
11-01-2003,Bormio,Downhill,21
21-12-2002,Gardena/Groeden,Downhill,14
20-12-2002,Gardena/Groeden,Super G,15
14-12-2002,Val d'Isere,Downhill,DNF1
08-12-2002,"Beaver Creek, CO",Super G,33
07-12-2002,"Beaver Creek, CO",Downhill,6
01-12-2002,"Lake Louise, AB",Super G,14
30-11-2002,"Lake Louise, AB",Downhill,DNF1
12-01-2002,Wengen,Downhill,44
