datum,kraj,disciplina,mesto
20-03-2016,St. Moritz,Giant Slalom,23
17-01-2016,Flachau,Giant Slalom,DNQ1
10-01-2016,Altenmarkt-Zauchensee,Super G,DNF1
28-12-2015,Lienz,Giant Slalom,DNQ1
20-12-2015,Courchevel,Giant Slalom,DNQ1
12-12-2015,Are,Giant Slalom,DNQ1
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1
24-10-2015,Soelden,Giant Slalom,20
07-03-2014,Are,Giant Slalom,DNQ1
06-03-2014,Are,Giant Slalom,DNF1
28-12-2013,Lienz,Giant Slalom,DNF1
15-12-2013,St. Moritz,Giant Slalom,DNQ1
01-12-2013,Beaver Creek,Giant Slalom,DNQ1
26-10-2013,Soelden,Giant Slalom,DNF2
09-03-2013,Ofterschwang,Giant Slalom,DNQ1
