datum,kraj,disciplina,mesto,zaostanek
23-01-2016,Kitzbuehel,Downhill,DNF1,
22-01-2016,Kitzbuehel,Super G,1,0.00
22-01-2016,Kitzbuehel,Alpine combined,DNF2,
16-01-2016,Wengen,Downhill,1,0.00
15-01-2016,Wengen,Alpine combined,2,0.29
29-12-2015,Santa Caterina,Downhill,7,18.76
21-12-2015,Alta Badia,Parallel Giant Slalom,2,
20-12-2015,Alta Badia,Giant Slalom,28,27.10
19-12-2015,Val Gardena / Groeden,Downhill,1,0.00
18-12-2015,Val Gardena / Groeden,Super G,1,0.00
06-12-2015,Beaver Creek,Giant Slalom,DNS1,
05-12-2015,Beaver Creek,Super G,21,18.89
04-12-2015,Beaver Creek,Downhill,1,0.00
29-11-2015,Lake Louise,Super G,1,0.00
28-11-2015,Lake Louise,Downhill,1,0.00
25-10-2015,Soelden,Giant Slalom,24,28.95
15-03-2014,Lenzerheide,Giant Slalom,DNF1,
13-03-2014,Lenzerheide,Super G,16,30.77
12-03-2014,Lenzerheide,Downhill,5,3.04
08-03-2014,Kranjska Gora,Giant Slalom,17,10.62
02-03-2014,Kvitfjell,Super G,4,5.06
01-03-2014,Kvitfjell,Downhill,6,10.84
28-02-2014,Kvitfjell,Downhill,5,7.71
02-02-2014,St. Moritz,Giant Slalom,DNF2,
26-01-2014,Kitzbuehel,Super G,3,2.24
26-01-2014,Kitzbuehel,Super Combined,DNF2,
25-01-2014,Kitzbuehel,Downhill,2,2.33
18-01-2014,Wengen,Downhill,3,1.03
17-01-2014,Wengen,Super Combined,5,9.61
11-01-2014,Adelboden,Giant Slalom,12,10.88
29-12-2013,Bormio,Downhill,1,0.00
22-12-2013,Alta Badia,Giant Slalom,13,13.91
21-12-2013,Val Gardena / Groeden,Downhill,4,3.41
20-12-2013,Val Gardena / Groeden,Super G,1,0.00
14-12-2013,Val d'Isere,Giant Slalom,DNF1,
08-12-2013,Beaver Creek,Giant Slalom,11,18.63
07-12-2013,Beaver Creek,Super G,7,7.84
06-12-2013,Beaver Creek,Downhill,1,0.00
01-12-2013,Lake Louise,Super G,1,0.00
30-11-2013,Lake Louise,Downhill,4,2.87
27-10-2013,Soelden,Giant Slalom,4,12.88
16-03-2013,Lenzerheide,Giant Slalom,DNF1,
09-03-2013,Kranjska Gora,Giant Slalom,6,7.44
03-03-2013,Kvitfjell,Super G,1,0.00
02-03-2013,Kvitfjell,Downhill,2,2.92
24-02-2013,Garmisch-Partenkirchen,Giant Slalom,6,5.66
23-02-2013,Garmisch-Partenkirchen,Downhill,5,6.58
27-01-2013,Kitzbuehel,Super Combined,5,27.25
26-01-2013,Kitzbuehel,Downhill,9,13.52
25-01-2013,Kitzbuehel,Super G,1,0.00
19-01-2013,Wengen,Downhill,DNF1,
18-01-2013,Wengen,Super Combined,14,17.08
12-01-2013,Adelboden,Giant Slalom,6,11.13
01-01-2013,City Event Munich,City Event,9,0.00
29-12-2012,Bormio,Downhill,3,0.12
16-12-2012,Alta Badia,Giant Slalom,9,27.50
15-12-2012,Val Gardena-Groeden,Downhill,5,6.94
14-12-2012,Val Gardena-Groeden,Super G,1,0.00
09-12-2012,Val d'Isere,Giant Slalom,6,15.29
02-12-2012,Beaver Creek,Giant Slalom,6,16.81
01-12-2012,Beaver Creek,Super G,2,3.80
30-11-2012,Beaver Creek,Downhill,2,3.10
25-11-2012,Lake Louise,Super G,1,0.00
24-11-2012,Lake Louise,Downhill,1,0.00
28-10-2012,Soelden,Giant Slalom,DNF2,
17-03-2012,Schladming,Giant Slalom,16,18.59
15-03-2012,Schladming,Super G,16,15.79
14-03-2012,Schladming,Downhill,1,0.00
10-03-2012,Kranjska Gora,Giant Slalom,8,18.56
04-03-2012,Kvitfjell,Super G,2,2.37
03-03-2012,Kvitfjell,Downhill,3,6.04
