datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,8
07-03-2016,Jasna,Giant Slalom,DNF2
06-03-2016,Jasna,Slalom,DNF2
23-02-2016,Stockholm,City Event,5
15-02-2016,Crans Montana,Slalom,11
30-01-2016,Maribor,Giant Slalom,16
17-01-2016,Flachau,Giant Slalom,11
15-01-2016,Flachau,Slalom,9
12-01-2016,Flachau,Slalom,DNQ1
05-01-2016,Santa Caterina Valfurva,Slalom,12
29-12-2015,Lienz,Slalom,4
28-12-2015,Lienz,Giant Slalom,DNF1
20-12-2015,Courchevel,Giant Slalom,11
13-12-2015,Are,Slalom,12
12-12-2015,Are,Giant Slalom,DNQ1
29-11-2015,"Aspen, CO",Slalom,5
28-11-2015,"Aspen, CO",Slalom,DNF1
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1
21-03-2015,Meribel,Slalom,9
14-03-2015,Are,Slalom,8
13-03-2015,Are,Giant Slalom,27
22-02-2015,Maribor,Slalom,23
21-02-2015,Maribor,Giant Slalom,DNS1
13-01-2015,Flachau,Slalom,DNF2
04-01-2015,Zagreb,Slalom,10
29-12-2014,Kuehtai in Tirol,Slalom,12
28-12-2014,Kuehtai in Tirol,Giant Slalom,DNQ1
13-12-2014,Are,Slalom,7
12-12-2014,Are,Giant Slalom,DNQ1
30-11-2014,Aspen,Slalom,DNF1
29-11-2014,Aspen,Giant Slalom,DNQ1
15-11-2014,Levi,Slalom,17
25-10-2014,Soelden,Giant Slalom,DNF1
15-03-2014,Lenzerheide,Slalom,14
08-03-2014,Are,Slalom,DNF1
02-02-2014,Kranjska Gora,Slalom,25
14-01-2014,Flachau,Slalom,13
05-01-2014,Bormio,Slalom,DNQ1
29-12-2013,Lienz,Slalom,DNQ1
28-12-2013,Lienz,Giant Slalom,DNQ1
22-12-2013,Val d'Isere,Giant Slalom,17
17-12-2013,Courchevel,Slalom,7
15-12-2013,St. Moritz,Giant Slalom,25
01-12-2013,Beaver Creek,Giant Slalom,DNQ1
16-11-2013,Levi,Slalom,DNQ1
26-10-2013,Soelden,Giant Slalom,DNF1
16-03-2013,Lenzerheide,Slalom,8
10-03-2013,Ofterschwang,Slalom,14
29-01-2013,City Event Moscow,City Event,9
27-01-2013,Maribor,Slalom,DNF1
15-01-2013,Flachau,Slalom,DNF2
04-01-2013,Zagreb,Slalom,12
01-01-2013,City Event Munich,City Event,9
29-12-2012,Semmering,Slalom,15
28-12-2012,Semmering,Giant Slalom,DNQ1
20-12-2012,Are,Slalom,DNF2
19-12-2012,Are,Giant Slalom,DNQ1
25-11-2012,"Aspen, CO",Slalom,20
10-11-2012,Levi,Slalom,26
17-03-2012,Schladming,Slalom,21
10-03-2012,Are,Slalom,DNQ1
04-03-2012,Ofterschwang,Slalom,DNF1
11-02-2012,Soldeu-Grandvalira,Slalom,12
22-01-2012,Kranjska Gora,Slalom,DNF2
03-01-2012,Zagreb,Slalom,DNF1
29-12-2011,Lienz,Slalom,DNQ1
20-12-2011,Flachau,Slalom,12
18-12-2011,Courchevel,Slalom,9
27-11-2011,Aspen,Slalom,23
04-02-2011,Arber-Zwiesel,Slalom,DNF1
11-01-2011,Flachau,Slalom,DNF1
29-12-2010,Semmering,Slalom,DNQ1
17-01-2010,Maribor,Slalom,DNQ1
12-01-2010,Flachau,Slalom,DNF1
03-01-2010,Zagreb,Slalom,DNF1
29-12-2009,Lienz,Slalom,DNF1
14-11-2009,Levi,Slalom,DSQ1
30-01-2009,Garmisch Partenkirchen,Slalom,DNQ1
11-01-2009,Maribor,Slalom,DNQ1
04-01-2009,Zagreb,Slalom,DNF1
29-12-2008,Semmering,Slalom,DNF1
