datum,kraj,disciplina,mesto
17-03-2016,St. Moritz,Super G,4
16-03-2016,St. Moritz,Downhill,16
13-03-2016,Kvitfjell,Super G,11
12-03-2016,Kvitfjell,Downhill,9
27-02-2016,Hinterstoder,Super G,6
20-02-2016,Chamonix,Downhill,6
19-02-2016,Chamonix,Alpine combined,7
07-02-2016,Jeongseon,Super G,16
06-02-2016,Jeongseon,Downhill,8
30-01-2016,Garmisch Partenkirchen,Downhill,5
23-01-2016,Kitzbuehel,Downhill,8
22-01-2016,Kitzbuehel,Alpine combined,DNF1
22-01-2016,Kitzbuehel,Super G,DNF1
16-01-2016,Wengen,Downhill,7
15-01-2016,Wengen,Alpine combined,3
29-12-2015,Santa Caterina,Downhill,1
19-12-2015,Val Gardena / Groeden,Downhill,25
18-12-2015,Val Gardena / Groeden,Super G,6
05-12-2015,Beaver Creek,Super G,4
04-12-2015,Beaver Creek,Downhill,10
29-11-2015,Lake Louise,Super G,9
28-11-2015,Lake Louise,Downhill,11
19-03-2015,Meribel,Super G,7
18-03-2015,Meribel,Downhill,11
08-03-2015,Kvitfjell,Super G,DNF1
07-03-2015,Kvitfjell,Downhill,34
28-02-2015,Garmisch Partenkirchen,Downhill,11
22-02-2015,Saalbach,Super G,2
21-02-2015,Saalbach,Downhill,7
24-01-2015,Kitzbuehel,Downhill,12
23-01-2015,Kitzbuehel,Super G,4
18-01-2015,Wengen,Downhill,16
16-01-2015,Wengen,Alpine combined,16
28-12-2014,Santa Caterina,Downhill,41
20-12-2014,Val Gardena / Groeden,Super G,28
19-12-2014,Val Gardena / Groeden,Downhill,14
06-12-2014,Beaver Creek,Super G,15
05-12-2014,Beaver Creek,Downhill,13
30-11-2014,Lake Louise,Super G,26
29-11-2014,Lake Louise,Downhill,30
13-03-2014,Lenzerheide,Super G,DNF1
12-03-2014,Lenzerheide,Downhill,10
02-03-2014,Kvitfjell,Super G,56
01-03-2014,Kvitfjell,Downhill,26
28-02-2014,Kvitfjell,Downhill,17
26-01-2014,Kitzbuehel,Super G,9
26-01-2014,Kitzbuehel,Super Combined,15
25-01-2014,Kitzbuehel,Downhill,4
18-01-2014,Wengen,Downhill,14
17-01-2014,Wengen,Super Combined,13
29-12-2013,Bormio,Downhill,4
21-12-2013,Val Gardena / Groeden,Downhill,18
20-12-2013,Val Gardena / Groeden,Super G,3
08-12-2013,Beaver Creek,Giant Slalom,DNQ1
07-12-2013,Beaver Creek,Super G,22
06-12-2013,Beaver Creek,Downhill,19
01-12-2013,Lake Louise,Super G,16
30-11-2013,Lake Louise,Downhill,3
03-03-2013,Kvitfjell,Super G,11
02-03-2013,Kvitfjell,Downhill,1
23-02-2013,Garmisch-Partenkirchen,Downhill,14
27-01-2013,Kitzbuehel,Slalom,DNF1
27-01-2013,Kitzbuehel,Super Combined,DNF1
26-01-2013,Kitzbuehel,Downhill,13
25-01-2013,Kitzbuehel,Super G,7
19-01-2013,Wengen,Downhill,8
18-01-2013,Wengen,Super Combined,13
