datum,kraj,disciplina,mesto,zaostanek
12-03-2016,Kvitfjell,Downhill,27,22.65
20-02-2016,Chamonix,Downhill,34,23.76
07-02-2016,Jeongseon,Super G,36,39.99
06-02-2016,Jeongseon,Downhill,41,30.95
30-01-2016,Garmisch Partenkirchen,Downhill,12,9.00
23-01-2016,Kitzbuehel,Downhill,19,24.92
16-01-2016,Wengen,Downhill,DNF1,
29-12-2015,Santa Caterina,Downhill,8,18.99
19-12-2015,Val Gardena / Groeden,Downhill,43,31.36
05-12-2015,Beaver Creek,Super G,41,34.39
04-12-2015,Beaver Creek,Downhill,23,23.57
28-11-2015,Lake Louise,Downhill,21,21.44
18-03-2015,Meribel,Downhill,23,24.04
08-03-2015,Kvitfjell,Super G,31,28.49
07-03-2015,Kvitfjell,Downhill,17,10.60
28-02-2015,Garmisch Partenkirchen,Downhill,18,12.87
22-02-2015,Saalbach,Super G,39,35.28
21-02-2015,Saalbach,Downhill,8,9.45
24-01-2015,Kitzbuehel,Downhill,17,16.98
23-01-2015,Kitzbuehel,Super G,41,36.73
18-01-2015,Wengen,Downhill,29,24.34
28-12-2014,Santa Caterina,Downhill,44,31.24
20-12-2014,Val Gardena / Groeden,Super G,45,30.03
19-12-2014,Val Gardena / Groeden,Downhill,27,32.68
06-12-2014,Beaver Creek,Super G,37,44.37
05-12-2014,Beaver Creek,Downhill,48,38.56
30-11-2014,Lake Louise,Super G,47,32.16
29-11-2014,Lake Louise,Downhill,29,19.74
02-03-2014,Kvitfjell,Super G,22,18.50
01-03-2014,Kvitfjell,Downhill,43,32.68
28-02-2014,Kvitfjell,Downhill,50,33.98
26-01-2014,Kitzbuehel,Super G,61,26.11
25-01-2014,Kitzbuehel,Downhill,12,15.77
18-01-2014,Wengen,Downhill,59,36.96
29-12-2013,Bormio,Downhill,37,29.06
21-12-2013,Val Gardena / Groeden,Downhill,DNF1,
20-12-2013,Val Gardena / Groeden,Super G,43,42.41
07-12-2013,Beaver Creek,Super G,45,40.60
06-12-2013,Beaver Creek,Downhill,46,47.20
01-12-2013,Lake Louise,Super G,45,31.67
30-11-2013,Lake Louise,Downhill,44,40.89
03-03-2013,Kvitfjell,Super G,38,35.90
02-03-2013,Kvitfjell,Downhill,29,30.91
23-02-2013,Garmisch-Partenkirchen,Downhill,34,23.53
26-01-2013,Kitzbuehel,Downhill,17,19.46
25-01-2013,Kitzbuehel,Super G,28,27.35
19-01-2013,Wengen,Downhill,12,15.45
29-12-2012,Bormio,Downhill,15,14.44
15-12-2012,Val Gardena-Groeden,Downhill,49,37.48
14-12-2012,Val Gardena-Groeden,Super G,32,30.00
01-12-2012,Beaver Creek,Super G,49,56.66
30-11-2012,Beaver Creek,Downhill,16,18.59
25-11-2012,Lake Louise,Super G,34,29.52
24-11-2012,Lake Louise,Downhill,45,43.01
14-03-2012,Schladming,Downhill,10,16.81
04-03-2012,Kvitfjell,Super G,41,32.81
03-03-2012,Kvitfjell,Downhill,9,16.47
02-03-2012,Kvitfjell,Super G,40,30.42
25-02-2012,Crans Montana,Super G,42,48.07
24-02-2012,Crans Montana,Super G,47,45.65
11-02-2012,Sochi,Downhill,2,2.68
04-02-2012,Chamonix,Downhill,5,11.11
03-02-2012,Chamonix,Downhill,11,6.96
28-01-2012,Garmisch-Partenkirchen,Downhill,23,21.17
21-01-2012,Kitzbuehel,Downhill,41,31.40
14-01-2012,Wengen,Downhill,37,32.63
29-12-2011,Bormio,Downhill,32,32.65
16-12-2011,Val Gardena-Groeden,Super G,50,31.34
03-12-2011,Beaver Creek,Super G,36,31.51
02-12-2011,Beaver Creek,Downhill,40,39.33
27-11-2011,Lake Louise,Super G,27,25.91
26-11-2011,Lake Louise,Downhill,34,22.81
13-03-2011,Kvitfjell,Super G,50,39.53
12-03-2011,Kvitfjell,Downhill,40,31.39
11-03-2011,Kvitfjell,Downhill,18,16.72
05-02-2011,Hinterstoder,Super G,48,58.96
30-01-2011,Chamonix,Super Combined,29,47.08
29-01-2011,Chamonix,Downhill,43,38.81
22-01-2011,Kitzbuehel,Downhill,26,39.20
21-01-2011,Kitzbuehel,Super G,34,45.37
29-12-2010,Bormio,Downhill,42,62.13
18-12-2010,Val Gardena-Groeden,Downhill,16,17.25
17-12-2010,Val Gardena-Groeden,Super G,51,52.47
04-12-2010,Beaver Creek,Super G,45,52.46
28-11-2010,Lake Louise,Super G,61,50.87
27-11-2010,Lake Louise,Downhill,44,41.46
07-03-2010,Kvitfjell,Super G,45,54.41
06-03-2010,Kvitfjell,Downhill,43,33.63
