datum,kraj,disciplina,mesto,zaostanek
27-02-2016,Hinterstoder,Super G,51,63.20
26-02-2016,Hinterstoder,Giant Slalom,DNQ1,
20-02-2016,Chamonix,Downhill,55,45.09
19-02-2016,Chamonix,Alpine combined,DNF1,
14-02-2016,Yuzawa Naeba,Slalom,DNQ1,
26-01-2016,Schladming,Slalom,DSQ1,
24-01-2016,Kitzbuehel,Slalom,DNF1,
22-01-2016,Kitzbuehel,Super G,DNF1,
22-01-2016,Kitzbuehel,Alpine combined,DNF1,
17-01-2016,Wengen,Slalom,DNQ1,
15-01-2016,Wengen,Alpine combined,DNF2,
10-01-2016,Adelboden,Slalom,DNQ1,
06-01-2016,Santa Caterina Valfurva,Slalom,DNF1,
22-12-2015,Madonna di Campiglio,Slalom,DNQ1,
18-12-2015,Val Gardena / Groeden,Super G,DNF1,
06-12-2015,Beaver Creek,Giant Slalom,DNQ1,
05-12-2015,Beaver Creek,Super G,39,30.35
29-11-2015,Lake Louise,Super G,44,34.11
17-01-2015,Wengen,Slalom,DNQ1,
16-01-2015,Wengen,Alpine combined,29,46.91
11-01-2015,Adelboden,Slalom,DNF1,
10-01-2015,Adelboden,Giant Slalom,DNQ1,
06-01-2015,Zagreb,Slalom,DNF1,
22-12-2014,Madonna di Campiglio,Slalom,DNF1,
21-12-2014,Alta Badia,Giant Slalom,DNQ1,
20-12-2014,Val Gardena / Groeden,Super G,54,42.91
14-12-2014,Are,Slalom,DNF1,
12-12-2014,Are,Giant Slalom,DNQ1,
07-12-2014,Beaver Creek,Giant Slalom,DNQ1,
16-11-2014,Levi,Slalom,20,24.65
26-10-2014,Soelden,Giant Slalom,DNQ1,
08-03-2014,Kranjska Gora,Giant Slalom,DNQ1,
02-02-2014,St. Moritz,Giant Slalom,DNQ1,
12-01-2014,Adelboden,Slalom,DNQ1,
11-01-2014,Adelboden,Giant Slalom,DNQ1,
15-12-2013,Val d'Isere,Slalom,DNF1,
14-12-2013,Val d'Isere,Giant Slalom,28,37.82
09-03-2013,Kranjska Gora,Giant Slalom,DNQ1,
