datum,kraj,disciplina,mesto,zaostanek
19-03-2016,St. Moritz,Slalom,2,14.06
06-03-2016,Jasna,Slalom,3,17.25
23-02-2016,Stockholm,City Event,5,
15-02-2016,Crans Montana,Slalom,10,10.65
15-01-2016,Flachau,Slalom,1,0.00
12-01-2016,Flachau,Slalom,1,0.00
05-01-2016,Santa Caterina Valfurva,Slalom,3,8.38
29-12-2015,Lienz,Slalom,6,7.13
13-12-2015,Are,Slalom,6,8.98
29-11-2015,"Aspen, CO",Slalom,DNF1,
28-11-2015,"Aspen, CO",Slalom,2,22.15
21-03-2015,Meribel,Slalom,3,3.06
14-03-2015,Are,Slalom,2,9.71
22-02-2015,Maribor,Slalom,2,7.48
13-01-2015,Flachau,Slalom,5,4.66
04-01-2015,Zagreb,Slalom,DNF2,
29-12-2014,Kuehtai in Tirol,Slalom,DNF1,
13-12-2014,Are,Slalom,13,10.14
15-11-2014,Levi,Slalom,14,14.76
16-03-2013,Lenzerheide,Slalom,9,12.66
10-03-2013,Ofterschwang,Slalom,7,11.32
29-01-2013,City Event Moscow,City Event,2,0.00
27-01-2013,Maribor,Slalom,4,7.54
15-01-2013,Flachau,Slalom,DNF1,
04-01-2013,Zagreb,Slalom,24,63.82
01-01-2013,City Event Munich,City Event,1,0.00
29-12-2012,Semmering,Slalom,1,0.00
20-12-2012,Are,Slalom,7,9.06
16-12-2012,Courchevel,Giant Slalom,DNF1,
09-12-2012,St. Moritz,Giant Slalom,DNQ1,
25-11-2012,"Aspen, CO",Slalom,11,21.66
24-11-2012,"Aspen, CO",Giant Slalom,DNQ1,
10-11-2012,Levi,Slalom,5,6.65
27-10-2012,Soelden,Giant Slalom,DNQ1,
17-03-2012,Schladming,Slalom,2,0.79
10-03-2012,Are,Slalom,2,0.06
09-03-2012,Are,Giant Slalom,DNF1,
04-03-2012,Ofterschwang,Slalom,13,4.73
02-03-2012,Ofterschwang,Giant Slalom,24,14.76
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNQ1,
11-02-2012,Soldeu-Grandvalira,Slalom,5,7.48
22-01-2012,Kranjska Gora,Slalom,3,7.62
21-01-2012,Kranjska Gora,Giant Slalom,25,25.53
03-01-2012,Zagreb,Slalom,13,18.96
29-12-2011,Lienz,Slalom,8,10.18
20-12-2011,Flachau,Slalom,DSQ1,
18-12-2011,Courchevel,Slalom,DSQ2,
27-11-2011,Aspen,Slalom,6,15.59
26-11-2011,Aspen,Giant Slalom,DNF1,
22-10-2011,Soelden,Giant Slalom,DNF1,
18-03-2011,Lenzerheide,Slalom,3,4.37
12-03-2011,Spindleruv Mlyn,Slalom,5,9.22
11-03-2011,Spindleruv Mlyn,Giant Slalom,23,23.68
06-02-2011,Arber-Zwiesel,Giant Slalom,DNQ1,
04-02-2011,Arber-Zwiesel,Slalom,2,3.60
11-01-2011,Flachau,Slalom,5,7.38
04-01-2011,Zagreb,Slalom,9,16.33
29-12-2010,Semmering,Slalom,9,9.08
28-12-2010,Semmering,Giant Slalom,DNQ1,
21-12-2010,Courchevel,Slalom,DNF1,
12-12-2010,St. Moritz,Giant Slalom,DNQ1,
28-11-2010,Aspen,Slalom,4,5.80
27-11-2010,Aspen,Giant Slalom,DNF2,
13-11-2010,Levi,Slalom,11,10.76
23-10-2010,Soelden,Giant Slalom,DNQ1,
17-01-2010,Maribor,Slalom,15,16.95
16-01-2010,Maribor,Giant Slalom,DNQ1,
12-01-2010,Flachau,Slalom,DNF1,
03-01-2010,Zagreb,Slalom,15,17.45
29-12-2009,Lienz,Slalom,DNF1,
14-11-2009,Levi,Slalom,DNQ1,
24-10-2009,Soelden,Giant Slalom,DNF1,
30-01-2009,Garmisch Partenkirchen,Slalom,DNQ1,
11-01-2009,Maribor,Slalom,DNF1,
10-01-2009,Maribor,Giant Slalom,DNQ1,
04-01-2009,Zagreb,Slalom,DNF2,
29-12-2008,Semmering,Slalom,9,11.64
28-12-2008,Semmering,Giant Slalom,DNQ1,
14-12-2008,La Molina,Slalom,17,23.10
30-11-2008,Aspen,Slalom,DNF1,
15-11-2008,Levi,Slalom,5,6.22
25-10-2008,Soelden,Giant Slalom,DNQ1,
15-03-2008,Bormio,Giant Slalom,DNF1,
14-03-2008,Bormio,Slalom,2,0.38
15-02-2008,Zagreb-Sljeme,Slalom,3,3.68
27-01-2008,Ofterschwang,Slalom,4,3.27
26-01-2008,Ofterschwang,Giant Slalom,DNQ1,
13-01-2008,Maribor,Slalom,2,2.79
12-01-2008,Maribor,Giant Slalom,DNQ2,
06-01-2008,Spindleruv Mlyn,Slalom,2,1.84
05-01-2008,Spindleruv Mlyn,Giant Slalom,DNQ1,
29-12-2007,Lienz,Slalom,10,12.95
28-12-2007,Lienz,Giant Slalom,DNQ1,
09-12-2007,"Aspen, CO",Slalom,6,14.44
25-11-2007,"Panorama, BC",Slalom,6,9.83
24-11-2007,"Panorama, BC",Giant Slalom,DNF1,
10-11-2007,Reiteralm,Slalom,5,2.85
27-10-2007,Soelden,Giant Slalom,21,12.84
17-03-2007,Lenzerheide,Slalom,3,7.79
11-03-2007,Zwiesel,Slalom,6,17.35
10-03-2007,Zwiesel,Giant Slalom,DNQ1,
02-03-2007,Tarvisio,Super Combined,27,31.96
25-02-2007,Sierra Nevada,Slalom,3,5.48
24-02-2007,Sierra Nevada,Giant Slalom,24,33.91
21-01-2007,Cortina d'Ampezzo,Giant Slalom,DNQ1,
07-01-2007,Kranjska Gora,Slalom,3,9.97
06-01-2007,Kranjska Gora,Giant Slalom,18,22.16
04-01-2007,Zagreb-Sljeme,Slalom,9,14.51
29-12-2006,Semmering,Slalom,7,13.03
28-12-2006,Semmering,Giant Slalom,23,24.94
21-12-2006,Val d'Isere,Slalom,5,3.85
15-12-2006,Reiteralm,Super Combined,24,28.72
26-11-2006,"Aspen, CO",Slalom,17,23.71
25-11-2006,"Aspen, CO",Giant Slalom,DNQ1,
11-11-2006,Levi,Slalom,DNF2,
11-03-2006,Levi,Slalom,18,24.76
10-03-2006,Levi,Slalom,DNF1,
05-03-2006,Hafjell/Kvitfjell,Giant Slalom,DNF1,
04-03-2006,Hafjell/Kvitfjell,Super Combined,29,
03-03-2006,Hafjell/Kvitfjell,Super G,DNF1,
05-02-2006,Ofterschwang,Slalom,22,22.72
03-02-2006,Ofterschwang,Giant Slalom,DNQ1,
08-01-2006,Maribor,Slalom,DNF2,
05-01-2006,Zagreb-Sljeme,Slalom,23,23.44
29-12-2005,Lienz,Slalom,DNF2,
22-12-2005,Spindleruv Mlyn,Slalom,16,20.65
11-12-2005,"Aspen, CO",Slalom,DNF1,
12-03-2005,Lenzerheide,Slalom,DNF2,
23-01-2005,Maribor,Slalom,13,11.76
20-01-2005,Zagreb-Sljeme,Slalom,11,7.97
09-01-2005,Santa Caterina,Slalom,4,7.40
08-01-2005,Santa Caterina,Giant Slalom,DNS1,
29-12-2004,Semmering,Slalom,10,24.13
12-12-2004,Altenmarkt-Zauchensee,Slalom,20,18.14
28-11-2004,"Aspen, CO",Slalom,8,11.97
27-11-2004,"Aspen, CO",Slalom,12,19.90
13-03-2004,Sestriere,Slalom,20,15.56
29-02-2004,Levi,Slalom,15,16.81
28-02-2004,Levi,Slalom,9,9.56
08-02-2004,Zwiesel,Slalom,3,4.33
25-01-2004,Maribor,Slalom,11,15.63
05-01-2004,Megeve,Slalom,20,15.72
28-12-2003,Lienz,Slalom,19,15.54
17-12-2003,Madonna di Campiglio,Slalom,DNF2,
16-12-2003,Madonna di Campiglio,Slalom,12,9.74
29-11-2003,"Park City, UT",Slalom,14,16.60
28-11-2003,"Park City, UT",Giant Slalom,DNQ1,
25-10-2003,Soelden,Giant Slalom,DNF1,
30-11-2002,"Aspen, CO",Slalom,DNQ1,
23-11-2002,"Park City, UT",Slalom,DNF1,
21-11-2002,"Park City, UT",Giant Slalom,DNF1,
26-10-2002,Soelden,Giant Slalom,DNS1,
10-03-2002,Altenmarkt-Zauchensee,Slalom,17,12.03
03-02-2002,Are,Slalom,10,15.10
31-01-2002,Are,Giant Slalom,DNQ1,
20-01-2002,Berchtesgaden,Slalom,24,11.13
13-01-2002,Saalbach-Hinterglemm,Slalom,DNF2,
06-01-2002,Maribor,Slalom,24,22.04
05-01-2002,Maribor,Slalom,DNF1,
29-12-2001,Lienz,Slalom,20,9.75
28-12-2001,Lienz,Giant Slalom,DNF1,
09-12-2001,Sestriere,Slalom,11,8.25
22-11-2001,"Copper Mountain, CO",Slalom,17,13.78
21-11-2001,"Copper Mountain, CO",Giant Slalom,DNQ1,
14-01-2001,Flachau,Slalom,DNQ2,
