datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,18
07-03-2016,Jasna,Giant Slalom,DNQ1
06-03-2016,Jasna,Slalom,9
23-02-2016,Stockholm,City Event,5
15-02-2016,Crans Montana,Slalom,DNF2
30-01-2016,Maribor,Giant Slalom,DNQ1
17-01-2016,Flachau,Giant Slalom,14
15-01-2016,Flachau,Slalom,3
12-01-2016,Flachau,Slalom,6
05-01-2016,Santa Caterina Valfurva,Slalom,DNF1
29-12-2015,Lienz,Slalom,3
28-12-2015,Lienz,Giant Slalom,DNQ1
13-12-2015,Are,Slalom,1
12-12-2015,Are,Giant Slalom,DNQ1
29-11-2015,"Aspen, CO",Slalom,7
28-11-2015,"Aspen, CO",Slalom,11
24-10-2015,Soelden,Giant Slalom,DNF1
14-03-2015,Are,Slalom,24
13-03-2015,Are,Giant Slalom,DNQ1
22-02-2015,Maribor,Slalom,DSQ2
13-01-2015,Flachau,Slalom,17
04-01-2015,Zagreb,Slalom,DNF2
29-12-2014,Kuehtai in Tirol,Slalom,18
25-10-2014,Soelden,Giant Slalom,DNQ1
15-03-2014,Lenzerheide,Slalom,DNF2
08-03-2014,Are,Slalom,DNQ1
02-02-2014,Kranjska Gora,Slalom,DNQ1
14-01-2014,Flachau,Slalom,DNF1
16-11-2013,Levi,Slalom,DNQ1
10-03-2013,Ofterschwang,Slalom,DNQ1
27-01-2013,Maribor,Slalom,DNQ1
15-01-2013,Flachau,Slalom,DNF1
04-01-2013,Zagreb,Slalom,DNF1
29-12-2012,Semmering,Slalom,11
