datum,kraj,disciplina,mesto,zaostanek
17-03-2016,St. Moritz,Super G,DNF1,
16-03-2016,St. Moritz,Downhill,21,31.74
13-03-2016,Kvitfjell,Super G,5,7.92
12-03-2016,Kvitfjell,Downhill,20,19.58
27-02-2016,Hinterstoder,Super G,22,26.07
20-02-2016,Chamonix,Downhill,18,17.53
19-02-2016,Chamonix,Alpine combined,DNF1,
07-02-2016,Jeongseon,Super G,DNF1,
06-02-2016,Jeongseon,Downhill,16,14.18
30-01-2016,Garmisch Partenkirchen,Downhill,17,9.98
23-01-2016,Kitzbuehel,Downhill,13,19.91
22-01-2016,Kitzbuehel,Super G,2,4.66
16-01-2016,Wengen,Downhill,21,33.67
15-01-2016,Wengen,Alpine combined,DNF2,
29-12-2015,Santa Caterina,Downhill,DNF1,
21-12-2015,Alta Badia,Parallel Giant Slalom,28,
19-12-2015,Val Gardena / Groeden,Downhill,17,17.86
18-12-2015,Val Gardena / Groeden,Super G,5,12.38
06-12-2015,Beaver Creek,Giant Slalom,DNF1,
05-12-2015,Beaver Creek,Super G,3,5.81
04-12-2015,Beaver Creek,Downhill,5,11.85
29-11-2015,Lake Louise,Super G,26,23.34
28-11-2015,Lake Louise,Downhill,24,23.88
19-03-2015,Meribel,Super G,15,10.79
08-03-2015,Kvitfjell,Super G,5,5.43
07-03-2015,Kvitfjell,Downhill,12,8.92
28-02-2015,Garmisch Partenkirchen,Downhill,33,16.86
22-02-2015,Saalbach,Super G,19,19.59
21-02-2015,Saalbach,Downhill,DNF1,
24-01-2015,Kitzbuehel,Downhill,DNS1,
23-01-2015,Kitzbuehel,Alpine combined,18,28.14
23-01-2015,Kitzbuehel,Super G,5,8.80
28-12-2014,Santa Caterina,Downhill,DNF1,
20-12-2014,Val Gardena / Groeden,Super G,19,16.34
19-12-2014,Val Gardena / Groeden,Downhill,51,59.22
06-12-2014,Beaver Creek,Super G,10,15.88
05-12-2014,Beaver Creek,Downhill,30,27.08
30-11-2014,Lake Louise,Super G,20,16.43
13-03-2014,Lenzerheide,Super G,DNF1,
02-03-2014,Kvitfjell,Super G,7,7.35
01-03-2014,Kvitfjell,Downhill,38,28.01
28-02-2014,Kvitfjell,Downhill,54,39.40
02-02-2014,St. Moritz,Giant Slalom,DNF1,
26-01-2014,Kitzbuehel,Super G,23,12.53
26-01-2014,Kitzbuehel,Super Combined,27,42.35
25-01-2014,Kitzbuehel,Downhill,43,42.75
