datum,kraj,disciplina,mesto
07-03-2016,Jasna,Giant Slalom,DNQ1
06-03-2016,Jasna,Slalom,DNF1
23-02-2016,Stockholm,City Event,9
15-02-2016,Crans Montana,Slalom,DNF1
15-01-2016,Flachau,Slalom,DNQ1
12-01-2016,Flachau,Slalom,17
05-01-2016,Santa Caterina Valfurva,Slalom,11
29-12-2015,Lienz,Slalom,17
13-12-2015,Are,Slalom,DNF1
29-11-2015,"Aspen, CO",Slalom,DNF1
28-11-2015,"Aspen, CO",Slalom,DNF1
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1
14-03-2015,Are,Slalom,DNQ1
22-02-2015,Maribor,Slalom,12
13-01-2015,Flachau,Slalom,DNF2
04-01-2015,Zagreb,Slalom,DNF1
29-12-2014,Kuehtai in Tirol,Slalom,DNQ1
13-12-2014,Are,Slalom,DNF1
30-11-2014,Aspen,Slalom,DNF1
15-11-2014,Levi,Slalom,DNQ1
08-03-2014,Are,Slalom,24
02-02-2014,Kranjska Gora,Slalom,DNQ1
14-01-2014,Flachau,Slalom,DNQ1
05-01-2014,Bormio,Slalom,DNQ1
29-12-2013,Lienz,Slalom,DNF1
16-11-2013,Levi,Slalom,23
