datum,kraj,disciplina,mesto
19-03-2016,St. Moritz,Slalom,DNF2
06-03-2016,Jasna,Slalom,20
15-02-2016,Crans Montana,Slalom,20
15-01-2016,Flachau,Slalom,DNF1
12-01-2016,Flachau,Slalom,11
05-01-2016,Santa Caterina Valfurva,Slalom,DNF2
29-12-2015,Lienz,Slalom,22
28-12-2015,Lienz,Giant Slalom,DNQ1
13-12-2015,Are,Slalom,8
12-12-2015,Are,Giant Slalom,DNQ1
29-11-2015,"Aspen, CO",Slalom,16
28-11-2015,"Aspen, CO",Slalom,DNF1
27-11-2015,"Aspen, CO",Giant Slalom,DNQ1
24-10-2015,Soelden,Giant Slalom,DNF1
21-03-2015,Meribel,Slalom,18
14-03-2015,Are,Slalom,20
13-03-2015,Are,Giant Slalom,DNF1
22-02-2015,Maribor,Slalom,17
13-01-2015,Flachau,Slalom,14
04-01-2015,Zagreb,Slalom,DNF1
29-12-2014,Kuehtai in Tirol,Slalom,24
13-12-2014,Are,Slalom,DNF1
30-11-2014,Aspen,Slalom,19
15-11-2014,Levi,Slalom,DNQ1
15-03-2014,Lenzerheide,Slalom,DNF2
08-03-2014,Are,Slalom,13
02-02-2014,Kranjska Gora,Slalom,17
14-01-2014,Flachau,Slalom,DNF2
05-01-2014,Bormio,Slalom,12
29-12-2013,Lienz,Slalom,19
17-12-2013,Courchevel,Slalom,14
16-11-2013,Levi,Slalom,21
10-03-2013,Ofterschwang,Slalom,20
27-01-2013,Maribor,Slalom,26
15-01-2013,Flachau,Slalom,20
04-01-2013,Zagreb,Slalom,20
29-12-2012,Semmering,Slalom,DNF1
20-12-2012,Are,Slalom,DNF1
25-11-2012,"Aspen, CO",Slalom,26
10-11-2012,Levi,Slalom,DNQ1
17-03-2012,Schladming,Slalom,4
10-03-2012,Are,Slalom,12
04-03-2012,Ofterschwang,Slalom,DNF1
11-02-2012,Soldeu-Grandvalira,Slalom,DNF1
22-01-2012,Kranjska Gora,Slalom,DNF1
03-01-2012,Zagreb,Slalom,7
29-12-2011,Lienz,Slalom,12
20-12-2011,Flachau,Slalom,19
18-12-2011,Courchevel,Slalom,16
27-11-2011,Aspen,Slalom,29
26-02-2011,Are,Downhill,36
25-02-2011,Are,Super Combined,DNF1
04-02-2011,Arber-Zwiesel,Slalom,DNQ1
11-01-2011,Flachau,Slalom,18
04-01-2011,Zagreb,Slalom,22
29-12-2010,Semmering,Slalom,13
21-12-2010,Courchevel,Slalom,DNF1
13-11-2010,Levi,Slalom,DNQ1
17-01-2010,Maribor,Slalom,DNQ1
16-01-2010,Maribor,Giant Slalom,DNQ1
13-12-2009,Are,Slalom,DNF1
30-01-2009,Garmisch Partenkirchen,Slalom,DNQ1
