datum,kraj,disciplina,mesto,zaostanek
21-03-2015,Meribel,Slalom,11,11.71
14-03-2015,Are,Slalom,15,22.10
13-03-2015,Are,Giant Slalom,13,11.28
01-03-2015,Bansko,Alpine combined,3,9.75
22-02-2015,Maribor,Slalom,7,9.66
21-02-2015,Maribor,Giant Slalom,6,5.36
13-01-2015,Flachau,Slalom,8,11.23
04-01-2015,Zagreb,Slalom,2,10.37
29-12-2014,Kuehtai in Tirol,Slalom,8,10.52
28-12-2014,Kuehtai in Tirol,Giant Slalom,15,10.26
13-12-2014,Are,Slalom,15,12.50
12-12-2014,Are,Giant Slalom,11,9.54
30-11-2014,Aspen,Slalom,3,6.52
29-11-2014,Aspen,Giant Slalom,2,4.59
15-11-2014,Levi,Slalom,3,3.25
25-10-2014,Soelden,Giant Slalom,4,1.78
16-03-2014,Lenzerheide,Giant Slalom,11,6.16
15-03-2014,Lenzerheide,Slalom,4,8.36
08-03-2014,Are,Slalom,8,18.38
07-03-2014,Are,Giant Slalom,23,22.44
06-03-2014,Are,Giant Slalom,7,5.84
02-02-2014,Kranjska Gora,Slalom,DNF2,
14-01-2014,Flachau,Slalom,8,12.65
05-01-2014,Bormio,Slalom,26,13.49
29-12-2013,Lienz,Slalom,DNF2,
28-12-2013,Lienz,Giant Slalom,4,6.24
22-12-2013,Val d'Isere,Giant Slalom,13,12.04
17-12-2013,Courchevel,Slalom,4,8.43
15-12-2013,St. Moritz,Giant Slalom,4,11.86
01-12-2013,Beaver Creek,Giant Slalom,15,13.94
16-11-2013,Levi,Slalom,15,13.63
26-10-2013,Soelden,Giant Slalom,2,5.15
17-03-2013,Lenzerheide,Giant Slalom,DNF1,
16-03-2013,Lenzerheide,Slalom,4,7.72
10-03-2013,Ofterschwang,Slalom,19,17.03
09-03-2013,Ofterschwang,Giant Slalom,DNF1,
27-01-2013,Maribor,Slalom,3,7.48
26-01-2013,Maribor,Giant Slalom,6,8.26
15-01-2013,Flachau,Slalom,DNF1,
04-01-2013,Zagreb,Slalom,DNF1,
01-01-2013,City Event Munich,City Event,9,0.00
29-12-2012,Semmering,Slalom,2,0.64
28-12-2012,Semmering,Giant Slalom,7,16.05
20-12-2012,Are,Slalom,DNF1,
19-12-2012,Are,Giant Slalom,10,14.34
16-12-2012,Courchevel,Giant Slalom,2,1.43
09-12-2012,St. Moritz,Giant Slalom,6,15.75
07-12-2012,St. Moritz,Super Combined,3,9.49
25-11-2012,"Aspen, CO",Slalom,1,0.00
24-11-2012,"Aspen, CO",Giant Slalom,2,6.71
10-11-2012,Levi,Slalom,DNF1,
27-10-2012,Soelden,Giant Slalom,2,2.47
18-03-2012,Schladming,Giant Slalom,21,21.04
17-03-2012,Schladming,Slalom,7,7.78
10-03-2012,Are,Slalom,16,6.16
09-03-2012,Are,Giant Slalom,27,25.10
04-03-2012,Ofterschwang,Slalom,DNF2,
03-03-2012,Ofterschwang,Giant Slalom,19,13.84
02-03-2012,Ofterschwang,Giant Slalom,16,11.01
21-02-2012,Moscow,City Event,5,0.00
18-02-2012,Sochi,Downhill,34,47.03
12-02-2012,Soldeu-Grandvalira,Giant Slalom,DNQ1,
11-02-2012,Soldeu-Grandvalira,Slalom,3,5.28
29-01-2012,St. Moritz,Super Combined,9,13.99
27-01-2012,St. Moritz,Super Combined,4,9.06
22-01-2012,Kranjska Gora,Slalom,5,12.97
21-01-2012,Kranjska Gora,Giant Slalom,9,11.53
08-01-2012,Bad Kleinkirchheim,Super G,26,27.43
07-01-2012,Bad Kleinkirchheim,Downhill,DSQ1,
03-01-2012,Zagreb,Slalom,DNF2,
29-12-2011,Lienz,Slalom,5,7.88
28-12-2011,Lienz,Giant Slalom,22,13.04
20-12-2011,Flachau,Slalom,4,7.11
18-12-2011,Courchevel,Slalom,3,13.02
27-11-2011,Aspen,Slalom,5,15.17
26-11-2011,Aspen,Giant Slalom,21,16.57
22-10-2011,Soelden,Giant Slalom,7,8.92
18-03-2011,Lenzerheide,Slalom,6,5.05
12-03-2011,Spindleruv Mlyn,Slalom,2,5.46
11-03-2011,Spindleruv Mlyn,Giant Slalom,11,16.02
06-02-2011,Arber-Zwiesel,Giant Slalom,3,7.99
04-02-2011,Arber-Zwiesel,Slalom,6,14.62
11-01-2011,Flachau,Slalom,4,4.88
04-01-2011,Zagreb,Slalom,7,12.57
29-12-2010,Semmering,Slalom,7,8.01
28-12-2010,Semmering,Giant Slalom,8,10.20
21-12-2010,Courchevel,Slalom,5,14.52
12-12-2010,St. Moritz,Giant Slalom,13,12.58
23-10-2010,Soelden,Giant Slalom,7,7.61
13-03-2010,Garmisch Partenkirchen,Slalom,2,6.57
11-03-2010,Garmisch Partenkirchen,Giant Slalom,9,9.02
24-01-2010,Cortina d'Ampezzo,Giant Slalom,DNF2,
22-01-2010,Cortina d'Ampezzo,Super G,38,38.26
17-01-2010,Maribor,Slalom,1,0.00
16-01-2010,Maribor,Giant Slalom,1,0.00
12-01-2010,Flachau,Slalom,3,2.57
03-01-2010,Zagreb,Slalom,2,2.14
29-12-2009,Lienz,Slalom,3,11.17
28-12-2009,Lienz,Giant Slalom,5,1.22
20-12-2009,Val d'Isere,Super G,12,17.91
18-12-2009,Val d'Isere,Super Combined,8,24.95
13-12-2009,Are,Slalom,4,8.02
12-12-2009,Are,Giant Slalom,3,4.24
29-11-2009,Aspen,Slalom,3,4.47
28-11-2009,Aspen,Giant Slalom,2,1.63
24-10-2009,Soelden,Giant Slalom,2,0.06
14-03-2009,Are,Giant Slalom,8,13.40
13-03-2009,Are,Slalom,9,5.60
12-03-2009,Are,Super G,17,31.29
07-03-2009,Ofterschwang,Slalom,DNF2,
06-03-2009,Ofterschwang,Giant Slalom,1,0.00
22-02-2009,Tarvisio,Super G,4,8.82
20-02-2009,Tarvisio,Super Combined,3,18.17
01-02-2009,Garmisch Partenkirchen,Super G,33,27.61
30-01-2009,Garmisch Partenkirchen,Slalom,DSQ2,
26-01-2009,Cortina d'Ampezzo,Super G,11,13.70
25-01-2009,Cortina d'Ampezzo,Giant Slalom,1,0.00
17-01-2009,Altenmarkt-Zauchensee,Super Combined,2,2.32
11-01-2009,Maribor,Slalom,2,7.70
10-01-2009,Maribor,Giant Slalom,11,10.50
04-01-2009,Zagreb,Slalom,5,6.41
29-12-2008,Semmering,Slalom,4,4.81
28-12-2008,Semmering,Giant Slalom,1,0.00
20-12-2008,St. Moritz,Super G,DNF1,
19-12-2008,St. Moritz,Super Combined,12,38.10
14-12-2008,La Molina,Slalom,3,12.53
13-12-2008,La Molina,Giant Slalom,DNF2,
30-11-2008,Aspen,Slalom,5,8.64
29-11-2008,Aspen,Giant Slalom,5,6.82
15-11-2008,Levi,Slalom,DNF2,
25-10-2008,Soelden,Giant Slalom,1,0.00
15-03-2008,Bormio,Giant Slalom,3,1.82
14-03-2008,Bormio,Slalom,DNF2,
13-03-2008,Bormio,Super G,8,11.79
09-03-2008,Crans-Montana,Super Combined,16,15.67
15-02-2008,Zagreb-Sljeme,Slalom,4,4.81
10-02-2008,Sestriere,Super G,25,26.30
03-02-2008,St. Moritz,Super G,24,17.97
27-01-2008,Ofterschwang,Slalom,12,12.40
26-01-2008,Ofterschwang,Giant Slalom,4,1.36
21-01-2008,Cortina d'Ampezzo,Super G,DNS1,
20-01-2008,Cortina d'Ampezzo,Super G,33,24.10
13-01-2008,Maribor,Slalom,DNF1,
12-01-2008,Maribor,Giant Slalom,9,16.49
06-01-2008,Spindleruv Mlyn,Slalom,10,15.89
05-01-2008,Spindleruv Mlyn,Giant Slalom,4,5.27
29-12-2007,Lienz,Slalom,DNF1,
28-12-2007,Lienz,Giant Slalom,DNF2,
22-12-2007,St. Anton/Arlberg,Super Combined,5,19.18
16-12-2007,St. Moritz,Super G,19,13.45
09-12-2007,"Aspen, CO",Slalom,3,8.64
25-11-2007,"Panorama, BC",Slalom,13,15.75
24-11-2007,"Panorama, BC",Giant Slalom,DNQ2,
10-11-2007,Reiteralm,Slalom,17,10.82
27-10-2007,Soelden,Giant Slalom,3,3.20
02-03-2007,Tarvisio,Super Combined,DNF,
25-02-2007,Sierra Nevada,Slalom,DNF2,
24-02-2007,Sierra Nevada,Giant Slalom,DNF1,
21-01-2007,Cortina d'Ampezzo,Giant Slalom,25,24.83
07-01-2007,Kranjska Gora,Slalom,DNF2,
06-01-2007,Kranjska Gora,Giant Slalom,DNF1,
04-01-2007,Zagreb-Sljeme,Slalom,12,15.53
29-12-2006,Semmering,Slalom,2,1.32
28-12-2006,Semmering,Giant Slalom,1,0.00
21-12-2006,Val d'Isere,Slalom,4,2.18
16-12-2006,Reiteralm,Super G,5,13.62
15-12-2006,Reiteralm,Super Combined,3,2.62
26-11-2006,"Aspen, CO",Slalom,5,9.28
25-11-2006,"Aspen, CO",Giant Slalom,1,0.00
11-11-2006,Levi,Slalom,3,6.75
18-03-2006,Are,Giant Slalom,DNF1,
17-03-2006,Are,Slalom,9,14.82
16-03-2006,Are,Super G,10,16.52
15-03-2006,Are,Downhill,15,20.13
11-03-2006,Levi,Slalom,DNF1,
