datum,kraj,disciplina,mesto
20-02-2016,Chamonix,Downhill,41
19-02-2016,Chamonix,Alpine combined,19
07-02-2016,Jeongseon,Super G,26
06-02-2016,Jeongseon,Downhill,33
30-01-2016,Garmisch Partenkirchen,Downhill,38
23-01-2016,Kitzbuehel,Downhill,DNS1
22-01-2016,Kitzbuehel,Super G,46
22-01-2016,Kitzbuehel,Alpine combined,18
17-01-2016,Wengen,Slalom,DNQ1
16-01-2016,Wengen,Downhill,36
15-01-2016,Wengen,Alpine combined,11
10-01-2016,Adelboden,Slalom,DNQ1
29-12-2015,Santa Caterina,Downhill,DNS1
19-12-2015,Val Gardena / Groeden,Downhill,39
18-12-2015,Val Gardena / Groeden,Super G,39
05-12-2015,Beaver Creek,Super G,56
04-12-2015,Beaver Creek,Downhill,25
29-11-2015,Lake Louise,Super G,43
28-11-2015,Lake Louise,Downhill,46
08-03-2015,Kvitfjell,Super G,33
07-03-2015,Kvitfjell,Downhill,45
01-03-2015,Garmisch Partenkirchen,Giant Slalom,DNQ1
28-02-2015,Garmisch Partenkirchen,Downhill,41
22-02-2015,Saalbach,Super G,DNS1
21-02-2015,Saalbach,Downhill,42
27-01-2015,Schladming,Slalom,DNQ1
25-01-2015,Kitzbuehel,Slalom,DNQ1
24-01-2015,Kitzbuehel,Downhill,43
23-01-2015,Kitzbuehel,Super G,26
23-01-2015,Kitzbuehel,Alpine combined,8
18-01-2015,Wengen,Downhill,45
17-01-2015,Wengen,Slalom,DNQ1
16-01-2015,Wengen,Alpine combined,6
06-01-2015,Zagreb,Slalom,DNQ1
28-12-2014,Santa Caterina,Downhill,33
20-12-2014,Val Gardena / Groeden,Super G,34
19-12-2014,Val Gardena / Groeden,Downhill,33
06-12-2014,Beaver Creek,Super G,30
05-12-2014,Beaver Creek,Downhill,35
30-11-2014,Lake Louise,Super G,37
02-03-2014,Kvitfjell,Super G,36
01-03-2014,Kvitfjell,Downhill,47
28-02-2014,Kvitfjell,Downhill,41
26-01-2014,Kitzbuehel,Super G,59
26-01-2014,Kitzbuehel,Super Combined,21
25-01-2014,Kitzbuehel,Downhill,33
24-01-2014,Kitzbuehel,Slalom,DNF1
19-01-2014,Wengen,Slalom,29
18-01-2014,Wengen,Downhill,33
17-01-2014,Wengen,Super Combined,3
29-12-2013,Bormio,Downhill,54
21-12-2013,Val Gardena / Groeden,Downhill,44
20-12-2013,Val Gardena / Groeden,Super G,37
07-12-2013,Beaver Creek,Super G,33
06-12-2013,Beaver Creek,Downhill,47
01-12-2013,Lake Louise,Super G,47
30-11-2013,Lake Louise,Downhill,DSQ1
01-12-2012,Beaver Creek,Super G,DNF1
30-11-2012,Beaver Creek,Downhill,54
25-11-2012,Lake Louise,Super G,32
24-11-2012,Lake Louise,Downhill,33
04-03-2012,Kvitfjell,Super G,37
03-03-2012,Kvitfjell,Downhill,53
02-03-2012,Kvitfjell,Super G,41
26-02-2012,Crans Montana,Giant Slalom,DNQ1
25-02-2012,Crans Montana,Super G,31
24-02-2012,Crans Montana,Super G,39
19-02-2012,Bansko,Slalom,DNQ1
12-02-2012,Sochi,Super Combined,12
11-02-2012,Sochi,Downhill,42
05-02-2012,Chamonix,Super Combined,25
04-02-2012,Chamonix,Downhill,53
03-02-2012,Chamonix,Downhill,46
28-01-2012,Garmisch-Partenkirchen,Downhill,45
24-01-2012,Schladming,Slalom,DNF1
22-01-2012,Kitzbuehel,Super Combined,9
22-01-2012,Kitzbuehel,Slalom,DNQ1
21-01-2012,Kitzbuehel,Downhill,47
15-01-2012,Wengen,Slalom,DNF1
14-01-2012,Wengen,Downhill,45
13-01-2012,Wengen,Super Combined,5
05-01-2012,Zagreb,Slalom,DNS1
29-12-2011,Bormio,Downhill,39
16-12-2011,Val Gardena-Groeden,Super G,26
08-12-2011,Beaver Creek,Slalom,DNF1
06-12-2011,Beaver Creek,Giant Slalom,DNQ1
04-12-2011,Beaver Creek,Giant Slalom,DNQ1
03-12-2011,Beaver Creek,Super G,46
02-12-2011,Beaver Creek,Downhill,54
27-11-2011,Lake Louise,Super G,45
26-11-2011,Lake Louise,Downhill,61
13-03-2011,Kvitfjell,Super G,33
12-03-2011,Kvitfjell,Downhill,32
11-03-2011,Kvitfjell,Downhill,36
06-03-2011,Kranjska Gora,Slalom,DNQ1
27-02-2011,Bansko,Slalom,DNQ1
26-02-2011,Bansko,Super Combined,15
05-02-2011,Hinterstoder,Super G,DNF1
30-01-2011,Chamonix,Super Combined,2
29-01-2011,Chamonix,Downhill,46
25-01-2011,Schladming,Slalom,DNQ1
23-01-2011,Kitzbuehel,Combined,DNF1
23-01-2011,Kitzbuehel,Slalom,DNQ1
22-01-2011,Kitzbuehel,Downhill,DNF1
21-01-2011,Kitzbuehel,Super G,33
