id,ime,drzava,smuci
70206,ABDERHALDEN  Marianne,SUI,Head
148274,AERNI  Luca,SUI,Salomon
166907,AGER  Christina,AUT,Atomic
137008,AGNELLI  Nicole,ITA,Elan
139437,ALOPINA  Ksenia,RUS,Rossignol
163567,ALPHAND  Estelle,FRA,Dynastar
125750,ANKENY  Michael,USA,Nordica
80000,BAECK  Axel,SWE,Rossignol
120086,BAILET  Margot,FRA,Salomon
104084,BALLERIN  Andrea,ITA,Fischer
2820,BANK  Ondrej,CZE,Nordica
97664,BARIOZ  Taina,FRA,Head
97665,BARTHET  Anne-Sophie,FRA,Head
173830,BASSINO  Marta,ITA,Salomon
157053,BATTILANI  Henri,ITA,Rossignol
136064,BAUD  Adeline,FRA,Rossignol
68659,BAUMANN  Romed,AUT,Salomon
137204,BENNETT  Bryce,USA,Fischer
4588,BERTHOD  Marc,SUI,Salomon
4650,BERTRAND  Marion,FRA,Head
163565,BESSY  Anouk,FRA,Rossignol
105849,BIESEMEYER  Thomas,USA,Rossignol
5469,BLARDONE  Massimiliano,ITA,Elan
118636,BORSOTTI  Giovanni,ITA,Salomon
82361,BRANDENBURG  Will,USA,Fischer
118271,BRANDNER  Klaus,GER,Nordica
94808,BREM  Eva-Maria,AUT,Voelkl
128892,BRENNSTEINER  Stefan,AUT,Fischer
118379,BRIGNONE  Federica,ITA,Rossignol
106219,BRODNIK  Vanja,SLO,Stoeckli
125534,BROWN  Phil,CAN,Rossignol
158888,BRUNNER  Stephanie,AUT,Head
146979,BUCIK  Ana,SLO,Stoeckli
126946,BUFFET  Robin,FRA,Salomon
155676,BUZZI  Emanuele,ITA,Head
95011,BYDLINSKI  Maciej,POL,Atomic
8288,BYGGMARK  Jens,SWE,Rossignol
118669,CASSE  Mattia,ITA,Head
137323,CATER  Martin,SLO,Stoeckli
138512,CAVIEZEL  Gino,SUI,Head
94491,CAVIEZEL  Mauro,SUI,Atomic
156479,CHABLE  Charlotte,SUI,Fischer
10054,CHODOUNSKY  David,USA,Nordica
10394,CLAREY  Johan,FRA,Head
113767,COLETTI  Alexandra,MON,Head
104762,COOK  Dustin,CAN,Head
11090,COOK  Stacey,USA,Stoeckli
11353,COSTAZZA  Chiara,ITA,Rossignol
11456,COUSINEAU  Julien,CAN,Fischer
155344,CRAWFORD  Candace,CAN,Head
129653,CURTONI  Elena,ITA,Head
11929,CURTONI  Irene,ITA,Rossignol
68625,DAUM  Alexandra,AUT,Rossignol
118704,DE ALIPRANDINI  Luca,ITA,Salomon
12865,DEFAGO  Didier,SUI,Rossignol
176987,DELAGO  Nicol,ITA,Atomic
176626,DENGSCHERZ  Dajana,AUT,Head
13418,DEVILLE  Cristian,ITA,Blizzard
94841,DIGRUBER  Marc,AUT,Atomic
163688,DIREZ  Clara,FRA,Dynastar
137583,DOPFER  Fritz,GER,Nordica
155688,DORSCH  Patrizia,GER,Stoeckli
146460,DRESSEN  Thomas,GER,Rossignol
14323,DREV  Ana,SLO,Voelkl
145630,DUBOVSKA  Martina,CZE,Voelkl
121249,DUERAGER  Markus,AUT,Fischer
126526,DUERR  Lena,GER,Voelkl
164701,DUFFY  Drew,USA,Ni_podatka
15325,EISATH  Florian,ITA,Blizzard
137958,EKLUND  Nathalie,SWE,Head
135985,FAIVRE  Mathieu,FRA,Head
16412,FANARA  Thomas,FRA,Fischer
16415,FANCHINI  Elena,ITA,Dynastar
71263,FANCHINI  Nadia,ITA,Dynastar
16654,FAYED  Guillermo,FRA,Head
104917,FEIERABEND  Denise,SUI,Head
137557,FELLER  Manuel,AUT,Atomic
106275,FENNINGER  Anna,AUT,Head
94053,FERK  Marusa,SLO,Stoeckli
95447,FERSTL  Josef,GER,Head
82015,FEUZ  Beat,SUI,Head
