id,datum,kraj,disciplina,mesto,zaostanek
70206,07-03-2015,Garmisch Partenkirchen,Downhill,36,48.17
70206,24-01-2015,St.Moritz,Downhill,31,30.46
70206,19-01-2015,Cortina d'Ampezzo,Super G,DNS1,
70206,18-01-2015,Cortina d'Ampezzo,Downhill,19,24.22
70206,16-01-2015,Cortina d'Ampezzo,Downhill,34,33.26
70206,21-12-2014,Val d Isere,Super G,DNF1,
70206,20-12-2014,Val d Isere,Downhill,8,7.30
70206,07-12-2014,Lake Louise,Super G,DNF1,
70206,06-12-2014,Lake Louise,Downhill,33,33.04
70206,05-12-2014,Lake Louise,Downhill,31,24.78
70206,12-03-2014,Lenzerheide,Downhill,16,39.63
70206,02-03-2014,Crans Montana,Downhill,DNF1,
70206,26-01-2014,Cortina d Ampezzo,Super G,DNF1,
70206,25-01-2014,Cortina d Ampezzo,Downhill,2,3.78
70206,24-01-2014,Cortina d Ampezzo,Downhill,14,25.52
70206,23-01-2014,Cortina d Ampezzo,Super G,21,25.68
70206,12-01-2014,Altenmarkt / Zauchensee,Super Combined,DSQ1,
70206,11-01-2014,Altenmarkt / Zauchensee,Downhill,8,14.92
70206,21-12-2013,Val d'Isere,Downhill,1,0.00
70206,14-12-2013,St. Moritz,Super G,37,36.09
70206,08-12-2013,Lake Louise,Super G,34,33.07
70206,07-12-2013,Lake Louise,Downhill,4,9.88
70206,06-12-2013,Lake Louise,Downhill,2,8.27
70206,30-11-2013,Beaver Creek,Super G,46,80.74
70206,29-11-2013,Beaver Creek,Downhill,9,20.16
70206,03-03-2013,Garmisch-Partenkirchen,Super G,DNF1,
70206,02-03-2013,Garmisch-Partenkirchen,Downhill,27,39.28
70206,01-03-2013,Garmisch-Partenkirchen,Super G,23,23.15
70206,24-02-2013,Meribel,Super Combined,11,26.49
70206,23-02-2013,Meribel,Downhill,24,18.17
70206,20-01-2013,Cortina d'Ampezzo,Super G,36,47.11
70206,19-01-2013,Cortina d'Ampezzo,Downhill,18,35.56
70206,13-01-2013,St. Anton,Super G,DNF1,
70206,12-01-2013,St. Anton,Downhill,33,32.86
70206,14-12-2012,Val d'Isere,Downhill,14,20.44
70206,08-12-2012,St. Moritz,Super G,40,54.08
70206,07-12-2012,St. Moritz,Super Combined,DNF1,
70206,02-12-2012,Lake Louise,Super G,32,38.79
70206,01-12-2012,Lake Louise,Downhill,3,7.52
70206,30-11-2012,Lake Louise,Downhill,17,34.06
70206,04-12-2011,Lake Louise,Super G,DNS1,
70206,03-12-2011,Lake Louise,Downhill,DNF1,
70206,02-12-2011,Lake Louise,Downhill,23,33.72
70206,16-03-2011,Lenzerheide,Downhill,13,41.34
70206,06-03-2011,Tarvisio,Super G,17,19.58
70206,05-03-2011,Tarvisio,Downhill,8,25.25
70206,04-03-2011,Tarvisio,Super Combined,23,34.52
70206,27-02-2011,Are,Super G,30,34.16
70206,26-02-2011,Are,Downhill,10,19.50
70206,25-02-2011,Are,Super Combined,23,39.21
70206,22-01-2011,Cortina d Ampezzo,Downhill,32,51.30
70206,21-01-2011,Cortina d Ampezzo,Super G,32,28.99
70206,09-01-2011,Zauchensee,Super G,29,41.49
70206,08-01-2011,Zauchensee,Downhill,31,41.25
70206,19-12-2010,Val d'Isere,Super Combined,DNF1,
70206,18-12-2010,Val d'Isere,Downhill,16,23.75
70206,05-12-2010,Lake Louise,Super G,36,55.81
70206,04-12-2010,Lake Louise,Downhill,24,28.05
70206,03-12-2010,Lake Louise,Downhill,14,28.85
70206,07-03-2010,Crans Montana,Super G,DNF1,
70206,06-03-2010,Crans Montana,Downhill,3,5.27
70206,30-01-2010,St. Moritz,Downhill,29,38.96
70206,29-01-2010,St. Moritz,Super Combined,27,36.00
70206,17-01-2010,Maribor,Slalom,DNQ1,
70206,12-01-2010,Flachau,Slalom,DNF1,
70206,03-01-2010,Zagreb,Slalom,DNQ1,
70206,29-12-2009,Lienz,Slalom,DNQ1,
70206,18-12-2009,Val d'Isere,Super Combined,32,70.13
